Local,SP_DYN_LE00_IN,SP_DYN_IMRT_IN,NY_GDP_PCAP_CD
UKR,71.0,8.0,2188.0
URY,77.0,7.0,15387.0
USA,79.0,6.0,57928.0
UZB,71.0,22.0,2568.0
VCT,72.0,16.0,7075.0
VEN,72.0,21.0,null
VIR,79.0,null,35932.0
VNM,75.0,17.0,2192.0
VUT,70.0,23.0,2890.0
WSM,73.0,14.0,4109.0
YEM,66.0,43.0,1034.0
ZAF,63.0,31.0,5273.0
ZMB,62.0,43.0,1281.0
ZWE,60.0,36.0,1465.0
ERI,65.0,33.0,null
PRK,72.0,15.0,null
SOM,56.0,81.0,null
SYR,70.0,14.0,null
BMU,81.0,null,null
MAF,80.0,null,null
NCL,77.0,null,null
PYF,77.0,null,null
SXM,78.0,null,null
ZZA,83.0,null,null
