Local,SP_DYN_LE00_IN,SP_DYN_IMRT_IN,NY_GDP_PCAP_CD
ABW,76.0,null,29008.0
AFG,64.0,49.0,556.0
AGO,60.0,53.0,4096.0
ALB,78.0,8.0,4531.0
AND,null,3.0,38963.0
ARE,78.0,7.0,40645.0
ARG,76.0,9.0,14592.0
ARM,75.0,12.0,3915.0
ASM,null,null,10823.0
ATG,77.0,5.0,15383.0
AUS,83.0,3.0,54066.0
AUT,82.0,3.0,47549.0
AZE,73.0,20.0,4147.0
BDI,61.0,42.0,293.0
BEL,81.0,3.0,44289.0
BEN,61.0,62.0,1137.0
BFA,61.0,50.0,738.0
BGD,72.0,27.0,1564.0
BGR,75.0,6.0,8331.0
BHR,77.0,6.0,23709.0
BHS,74.0,9.0,31827.0
BIH,77.0,5.0,5395.0
BLR,74.0,3.0,5762.0
BLZ,74.0,12.0,4888.0
BOL,71.0,23.0,3351.0
BRA,75.0,13.0,9925.0
BRB,79.0,12.0,17391.0
BRN,76.0,10.0,28572.0
BTN,71.0,26.0,3287.0
BWA,69.0,31.0,7893.0
CAF,52.0,87.0,451.0
CAN,82.0,4.0,45149.0
CHE,84.0,4.0,80450.0
CHL,80.0,6.0,14999.0
CHN,76.0,8.0,8879.0
CIV,57.0,61.0,2111.0
CMR,59.0,52.0,1425.0
COD,60.0,70.0,467.0
COG,64.0,37.0,1768.0
COL,77.0,13.0,6378.0
COM,64.0,53.0,1324.0
CPV,73.0,17.0,3293.0
CRI,80.0,8.0,11815.0
CUB,79.0,4.0,8541.0
CUW,78.0,null,19458.0
CYM,null,null,81125.0
CYP,81.0,2.0,26339.0
CZE,79.0,3.0,20380.0
DEU,81.0,3.0,44350.0
DJI,66.0,51.0,2914.0
DMA,null,32.0,7275.0
DNK,81.0,4.0,57141.0
DOM,74.0,25.0,7609.0
DZA,76.0,21.0,4044.0
ECU,77.0,12.0,6214.0
EGY,72.0,19.0,2441.0
ESP,83.0,3.0,28170.0
EST,78.0,2.0,20388.0
ETH,66.0,41.0,769.0
FIN,82.0,2.0,46317.0
FJI,67.0,21.0,6101.0
FRA,83.0,3.0,38812.0
FRO,82.0,null,58623.0
FSM,68.0,26.0,3290.0
GAB,66.0,34.0,7230.0
GBR,81.0,4.0,40361.0
GEO,73.0,9.0,4357.0
GHA,63.0,36.0,2026.0
GIN,61.0,66.0,857.0
GMB,61.0,40.0,677.0
GNB,58.0,56.0,737.0
GNQ,58.0,65.0,9668.0
GRC,81.0,4.0,18930.0
GRD,72.0,14.0,10153.0
GRL,null,null,50321.0
GTM,74.0,23.0,4451.0
GUM,80.0,null,35616.0
GUY,70.0,26.0,4586.0
HKG,85.0,null,46166.0
HND,75.0,16.0,2454.0
HRV,78.0,4.0,13412.0
HTI,63.0,51.0,766.0
HUN,76.0,4.0,14458.0
IDN,71.0,22.0,3838.0
IMN,null,null,80989.0
IND,69.0,32.0,1982.0
IRL,82.0,3.0,69822.0
IRN,76.0,13.0,5520.0
IRQ,70.0,23.0,5205.0
ISL,83.0,2.0,71311.0
ISR,83.0,3.0,40542.0
ITA,83.0,3.0,32407.0
JAM,74.0,13.0,5069.0
JOR,74.0,14.0,4163.0
JPN,84.0,2.0,38387.0
KAZ,73.0,9.0,9248.0
KEN,66.0,32.0,1572.0
KGZ,71.0,18.0,1243.0
KHM,69.0,25.0,1385.0
KIR,68.0,42.0,1641.0
KNA,null,10.0,19155.0
KOR,83.0,3.0,31617.0
KWT,75.0,7.0,29759.0
LAO,67.0,39.0,2424.0
LBN,79.0,7.0,7801.0
LBR,63.0,55.0,699.0
LBY,73.0,11.0,5757.0
LCA,76.0,15.0,11047.0
LIE,84.0,null,173356.0
LKA,77.0,7.0,4077.0
LSO,53.0,69.0,1150.0
LTU,75.0,4.0,16883.0
LUX,82.0,2.0,107627.0
LVA,75.0,4.0,15587.0
MAC,84.0,null,81517.0
MAR,76.0,20.0,3036.0
MCO,null,3.0,167517.0
MDA,72.0,14.0,3510.0
MDG,66.0,39.0,515.0
MDV,78.0,8.0,9541.0
MEX,75.0,12.0,9278.0
MHL,null,28.0,3667.0
MKD,76.0,10.0,5431.0
MLI,58.0,64.0,831.0
MLT,82.0,6.0,27239.0
MMR,67.0,38.0,1292.0
MNE,77.0,3.0,7803.0
MNG,70.0,15.0,3669.0
MNP,null,null,28305.0
MOZ,59.0,56.0,461.0
MRT,64.0,53.0,1578.0
MUS,75.0,13.0,10485.0
MWI,63.0,37.0,357.0
MYS,76.0,7.0,10254.0
NAM,63.0,30.0,5303.0
NER,62.0,49.0,517.0
NGA,54.0,77.0,1969.0
NIC,74.0,16.0,2159.0
NLD,82.0,3.0,48675.0
NOR,83.0,2.0,75497.0
NPL,70.0,28.0,911.0
NRU,null,27.0,8511.0
NZL,82.0,5.0,42849.0
OMN,77.0,10.0,15131.0
PAK,67.0,59.0,1465.0
PAN,78.0,14.0,15150.0
PER,76.0,11.0,6711.0
PHL,71.0,23.0,3123.0
PLW,null,17.0,16078.0
PNG,64.0,39.0,2695.0
POL,78.0,4.0,13861.0
PRI,80.0,null,31109.0
PRT,81.0,3.0,21490.0
PRY,74.0,18.0,5681.0
PSE,74.0,18.0,3254.0
QAT,80.0,6.0,61264.0
ROU,75.0,7.0,10808.0
RUS,72.0,7.0,10720.0
RWA,68.0,28.0,772.0
SAU,75.0,6.0,20804.0
SDN,65.0,43.0,1112.0
SEN,67.0,33.0,1362.0
SGP,83.0,2.0,60914.0
SLB,73.0,18.0,2059.0
SLE,54.0,81.0,499.0
SLV,73.0,12.0,3910.0
SMR,null,2.0,45394.0
SRB,76.0,5.0,6284.0
SSD,57.0,64.0,null
STP,70.0,25.0,1811.0
SUR,71.0,17.0,5627.0
SVK,77.0,5.0,17554.0
SVN,81.0,2.0,23501.0
SWE,82.0,2.0,53792.0
SWZ,58.0,45.0,3953.0
SYC,74.0,13.0,15906.0
TCA,null,null,25934.0
TCD,54.0,73.0,666.0
TGO,60.0,49.0,626.0
THA,77.0,8.0,6593.0
TJK,71.0,31.0,806.0
TKM,68.0,41.0,6587.0
TLS,69.0,41.0,1295.0
TON,71.0,14.0,4217.0
TTO,73.0,17.0,16238.0
TUN,76.0,15.0,3481.0
TUR,77.0,10.0,10514.0
TUV,null,21.0,3572.0
TZA,64.0,39.0,1005.0
UGA,63.0,35.0,747.0
UKR,72.0,8.0,2641.0
URY,78.0,7.0,17322.0
USA,79.0,6.0,59958.0
UZB,71.0,20.0,1827.0
VCT,72.0,15.0,7213.0
VEN,72.0,21.0,null
VIR,79.0,null,35938.0
VNM,75.0,17.0,2366.0
VUT,70.0,23.0,3082.0
WSM,73.0,14.0,4258.0
YEM,66.0,43.0,882.0
ZAF,64.0,30.0,6132.0
ZMB,63.0,42.0,1535.0
ZWE,61.0,35.0,1548.0
ERI,66.0,32.0,null
PRK,72.0,14.0,null
SOM,57.0,79.0,null
SYR,71.0,14.0,null
BMU,81.0,null,null
MAF,80.0,null,null
NCL,77.0,null,null
PYF,77.0,null,null
SXM,null,null,null
ZZA,83.0,null,null
