Local,SP_DYN_LE00_IN,SP_DYN_IMRT_IN,NY_GDP_PCAP_CD
ABW,76.0,null,27981.0
AFG,63.0,53.0,578.0
AGO,59.0,58.0,4167.0
ALB,78.0,9.0,3953.0
AND,null,3.0,35763.0
ARE,77.0,7.0,38663.0
ARG,76.0,10.0,13789.0
ARM,74.0,13.0,3607.0
ASM,null,null,11843.0
ATG,76.0,6.0,14286.0
AUS,82.0,3.0,56756.0
AUT,81.0,3.0,44178.0
AZE,72.0,23.0,5500.0
BDI,60.0,46.0,306.0
BEL,81.0,3.0,40992.0
BEN,61.0,64.0,1077.0
BFA,60.0,54.0,653.0
BGD,72.0,30.0,1248.0
BGR,75.0,7.0,7054.0
BHR,77.0,7.0,22689.0
BHS,73.0,9.0,31406.0
BIH,77.0,5.0,4727.0
BLR,74.0,3.0,5949.0
BLZ,74.0,13.0,4776.0
BOL,70.0,25.0,3036.0
BRA,75.0,14.0,8814.0
BRB,79.0,12.0,16525.0
BRN,75.0,9.0,31165.0
BTN,70.0,28.0,2753.0
BWA,67.0,33.0,6800.0
CAF,51.0,91.0,377.0
CAN,82.0,5.0,43586.0
CHE,83.0,4.0,82082.0
CHL,80.0,7.0,13574.0
CHN,76.0,9.0,8067.0
CIV,56.0,65.0,1973.0
CMR,58.0,56.0,1328.0
COD,59.0,74.0,497.0
COG,63.0,39.0,1762.0
COL,77.0,14.0,6176.0
COM,63.0,56.0,1243.0
CPV,72.0,18.0,3043.0
CRI,80.0,8.0,11299.0
CUB,79.0,4.0,7694.0
CUW,78.0,null,19951.0
CYM,null,null,76280.0
CYP,80.0,2.0,23334.0
CZE,79.0,3.0,17716.0
DEU,81.0,3.0,41140.0
DJI,64.0,54.0,2659.0
DMA,null,29.0,7596.0
DNK,81.0,4.0,53255.0
DOM,73.0,26.0,6922.0
DZA,76.0,21.0,4178.0
ECU,76.0,13.0,6124.0
EGY,71.0,20.0,3599.0
ESP,83.0,3.0,25732.0
EST,78.0,3.0,17522.0
ETH,65.0,44.0,641.0
FIN,81.0,2.0,42785.0
FJI,67.0,21.0,5391.0
FRA,82.0,3.0,36638.0
FRO,82.0,null,52405.0
FSM,67.0,28.0,2906.0
GAB,65.0,36.0,7385.0
GBR,81.0,4.0,44975.0
GEO,73.0,9.0,4014.0
GHA,63.0,39.0,1744.0
GIN,60.0,69.0,769.0
GMB,61.0,42.0,650.0
GNB,57.0,60.0,603.0
GNQ,57.0,68.0,11283.0
GRC,81.0,4.0,18168.0
GRD,72.0,14.0,9097.0
GRL,71.0,null,44536.0
GTM,73.0,24.0,3995.0
GUM,79.0,null,35279.0
GUY,69.0,27.0,4166.0
HKG,84.0,null,42432.0
HND,74.0,17.0,2302.0
HRV,77.0,4.0,11783.0
HTI,62.0,53.0,816.0
HUN,76.0,4.0,12652.0
IDN,71.0,23.0,3332.0
IMN,null,null,81606.0
IND,69.0,35.0,1606.0
IRL,81.0,3.0,61995.0
IRN,76.0,14.0,4904.0
IRQ,70.0,25.0,4990.0
ISL,82.0,2.0,52564.0
ISR,82.0,3.0,35777.0
ITA,83.0,3.0,30230.0
JAM,74.0,14.0,4908.0
JOR,74.0,15.0,4105.0
JPN,84.0,2.0,34524.0
KAZ,72.0,11.0,10511.0
KEN,65.0,33.0,1337.0
KGZ,71.0,20.0,1121.0
KHM,69.0,28.0,1163.0
KIR,67.0,45.0,1543.0
KNA,null,11.0,18029.0
KOR,82.0,3.0,28732.0
KWT,75.0,7.0,29870.0
LAO,67.0,42.0,2135.0
LBN,79.0,7.0,7645.0
LBR,62.0,59.0,710.0
LBY,72.0,11.0,4338.0
LCA,76.0,16.0,10094.0
LIE,83.0,null,167291.0
LKA,76.0,8.0,3844.0
LSO,51.0,71.0,1152.0
LTU,74.0,4.0,14249.0
LUX,82.0,2.0,101376.0
LVA,74.0,4.0,13699.0
MAC,84.0,null,75341.0
MAR,76.0,22.0,2875.0
MCO,null,3.0,166012.0
MDA,71.0,14.0,2732.0
MDG,66.0,41.0,467.0
MDV,78.0,9.0,9033.0
MEX,75.0,13.0,9606.0
MHL,null,30.0,3214.0
MKD,75.0,11.0,4840.0
MLI,58.0,67.0,751.0
MLT,82.0,6.0,24003.0
MMR,66.0,41.0,1287.0
MNE,76.0,3.0,6517.0
MNG,69.0,16.0,3919.0
MNP,null,null,16691.0
MOZ,57.0,59.0,590.0
MRT,64.0,55.0,1524.0
MUS,74.0,12.0,9260.0
MWI,62.0,40.0,381.0
MYS,75.0,7.0,9955.0
NAM,62.0,34.0,4869.0
NER,61.0,52.0,483.0
NGA,53.0,79.0,2730.0
NIC,74.0,16.0,2050.0
NLD,82.0,3.0,45175.0
NOR,82.0,2.0,74356.0
NPL,70.0,30.0,793.0
NRU,null,29.0,6956.0
NZL,81.0,5.0,38616.0
OMN,77.0,10.0,16029.0
PAK,67.0,62.0,1357.0
PAN,78.0,15.0,13630.0
PER,76.0,12.0,6229.0
PHL,71.0,24.0,3001.0
PLW,null,18.0,15872.0
PNG,63.0,41.0,2679.0
POL,77.0,4.0,12572.0
PRI,79.0,null,29763.0
PRT,81.0,3.0,19242.0
PRY,74.0,19.0,5407.0
PSE,73.0,19.0,2968.0
QAT,80.0,7.0,63039.0
ROU,75.0,8.0,8977.0
RUS,71.0,7.0,9313.0
RWA,67.0,31.0,755.0
SAU,75.0,7.0,20628.0
SDN,64.0,45.0,1910.0
SEN,67.0,35.0,1219.0
SGP,83.0,2.0,55647.0
SLB,72.0,19.0,1914.0
SLE,53.0,88.0,588.0
SLV,72.0,13.0,3706.0
SMR,null,2.0,42650.0
SRB,75.0,6.0,5585.0
SSD,57.0,64.0,1120.0
STP,69.0,27.0,1596.0
SUR,71.0,19.0,8562.0
SVK,77.0,5.0,16309.0
SVN,81.0,2.0,20882.0
SWE,82.0,2.0,51545.0
SWZ,55.0,48.0,3690.0
SYC,74.0,13.0,14745.0
TCA,null,null,24833.0
TCD,53.0,77.0,776.0
TGO,60.0,51.0,571.0
THA,76.0,9.0,5840.0
TJK,70.0,33.0,929.0
TKM,68.0,43.0,6433.0
TLS,68.0,43.0,1335.0
TON,71.0,14.0,4321.0
TTO,73.0,18.0,18290.0
TUN,76.0,15.0,3862.0
TUR,77.0,11.0,10949.0
TUV,null,22.0,3198.0
TZA,63.0,42.0,948.0
UGA,61.0,39.0,840.0
UKR,71.0,8.0,2125.0
URY,77.0,8.0,15614.0
USA,79.0,6.0,56823.0
UZB,71.0,23.0,2615.0
VCT,72.0,16.0,6921.0
VEN,73.0,17.0,null
VIR,79.0,null,34797.0
VNM,75.0,17.0,2085.0
VUT,70.0,24.0,2802.0
WSM,73.0,15.0,4074.0
YEM,66.0,43.0,1395.0
ZAF,63.0,31.0,5735.0
ZMB,62.0,45.0,1338.0
ZWE,60.0,39.0,1445.0
ERI,65.0,34.0,null
PRK,71.0,16.0,null
SOM,56.0,83.0,null
SYR,70.0,14.0,null
BMU,81.0,null,null
MAF,79.0,null,null
NCL,77.0,null,null
PYF,77.0,null,null
SXM,77.0,null,null
ZZA,82.0,null,null
