Local,SP_DYN_LE00_IN,SP_DYN_IMRT_IN,NY_GDP_PCAP_CD
ABW,76.0,null,null
AFG,64.0,48.0,524.0
AGO,61.0,52.0,3290.0
ALB,78.0,8.0,5284.0
AND,null,3.0,41793.0
ARE,78.0,7.0,43839.0
ARG,77.0,9.0,11684.0
ARM,75.0,11.0,4220.0
ASM,null,null,11467.0
ATG,77.0,5.0,16727.0
AUS,83.0,3.0,57396.0
AUT,82.0,3.0,51525.0
AZE,73.0,19.0,4740.0
BDI,61.0,41.0,272.0
BEL,82.0,3.0,47491.0
BEN,61.0,61.0,1241.0
BFA,61.0,49.0,820.0
BGD,72.0,25.0,1698.0
BGR,75.0,6.0,9424.0
BHR,77.0,6.0,23991.0
BHS,74.0,8.0,32218.0
BIH,77.0,5.0,6072.0
BLR,74.0,3.0,6330.0
BLZ,74.0,11.0,4885.0
BOL,71.0,22.0,3549.0
BRA,76.0,13.0,9001.0
BRB,79.0,11.0,17745.0
BRN,76.0,10.0,31628.0
BTN,71.0,25.0,3243.0
BWA,69.0,30.0,8280.0
CAF,53.0,85.0,476.0
CAN,82.0,4.0,46313.0
CHE,84.0,4.0,82818.0
CHL,80.0,6.0,15925.0
CHN,77.0,7.0,9977.0
CIV,57.0,59.0,2303.0
CMR,59.0,51.0,1534.0
COD,60.0,68.0,557.0
COG,64.0,36.0,2224.0
COL,77.0,12.0,6719.0
COM,64.0,51.0,1416.0
CPV,73.0,17.0,3617.0
CRI,80.0,8.0,12112.0
CUB,79.0,4.0,8822.0
CUW,null,null,19574.0
CYM,null,null,85477.0
CYP,81.0,2.0,28690.0
CZE,79.0,3.0,23047.0
DEU,81.0,3.0,47639.0
DJI,67.0,50.0,3142.0
DMA,null,33.0,7691.0
DNK,81.0,4.0,61391.0
DOM,74.0,24.0,8051.0
DZA,77.0,20.0,4115.0
ECU,77.0,12.0,6296.0
EGY,72.0,18.0,2549.0
ESP,83.0,3.0,30338.0
EST,78.0,2.0,23258.0
ETH,66.0,39.0,772.0
FIN,82.0,1.0,50021.0
FJI,67.0,22.0,6267.0
FRA,83.0,3.0,41631.0
FRO,83.0,null,null
FSM,68.0,26.0,3568.0
GAB,66.0,33.0,7957.0
GBR,81.0,4.0,43043.0
GEO,74.0,9.0,4723.0
GHA,64.0,35.0,2202.0
GIN,61.0,65.0,983.0
GMB,62.0,39.0,713.0
GNB,58.0,54.0,778.0
GNQ,58.0,63.0,10144.0
GRC,82.0,4.0,20324.0
GRD,72.0,14.0,10486.0
GRL,null,null,54471.0
GTM,74.0,22.0,4473.0
