Local,SP_DYN_LE00_IN,SP_DYN_IMRT_IN,NY_GDP_MKTP_CD,NY_GDP_PCAP_CD,NY_GDP_MKTP_KD_ZG,200343,200144,200345,200151,SP_RUR_TOTL_ZS,200101
BRB,,,5209000000.0,18148.0,-0.1,49.0,38.0,154.0,47.0,69.0,287.0
BRN,,,13469422941.0,31087.0,3.9,98.0,69.0,243.0,23.0,22.0,433.0
BTN,,,,,,193.0,146.0,377.0,46.0,58.0,763.0
BWA,,,18340510789.0,7961.0,3.0,778.0,422.0,1004.0,101.0,30.0,2304.0
CAF,,,2220307369.0,468.0,3.0,2084.0,1044.0,1483.0,134.0,58.0,4745.0
CAN,,,1736425629520.0,46195.0,1.7,5928.0,4413.0,20467.0,6602.0,19.0,37411.0
CHE,,,703082435360.0,81994.0,0.9,1284.0,917.0,4772.0,1618.0,26.0,8591.0
CHL,,,282318159745.0,14896.0,1.1,3695.0,2697.0,10309.0,2252.0,12.0,18952.0
CHN,,,14342902842916.0,10262.0,6.1,255278.0,171398.0,842621.0,164486.0,40.0,1433784.0
CIV,,,58792205642.0,2286.0,6.9,10728.0,5315.0,8935.0,739.0,49.0,25717.0
CMR,,,38760467033.0,1498.0,4.0,10962.0,5130.0,9080.0,705.0,43.0,25876.0
COD,,,47319624204.0,545.0,4.4,39925.0,16571.0,27676.0,2618.0,55.0,86791.0
COG,,,10820591131.0,2011.0,-0.9,2235.0,1013.0,1986.0,146.0,33.0,5381.0
COK,,,,,,4.0,3.0,9.0,2.0,,18.0
COL,,,323802808108.0,6432.0,3.3,11387.0,8713.0,25826.0,4413.0,19.0,50339.0
COM,,,1185728677.0,1394.0,2.7,334.0,166.0,325.0,26.0,71.0,851.0
CPV,,,1981845741.0,3604.0,5.7,156.0,96.0,271.0,26.0,34.0,550.0
CRI,,,61773944174.0,12238.0,2.1,1064.0,775.0,2709.0,499.0,20.0,5048.0
CUB,,,,,,1818.0,1367.0,6385.0,1764.0,23.0,11333.0
CUW,,,,,,30.0,21.0,85.0,28.0,11.0,163.0
CYM,,,,,,12.0,8.0,38.0,7.0,,65.0
CYP,,,24564647935.0,27858.0,3.2,,,,,33.0,
CZE,,,246489245495.0,23102.0,2.6,1681.0,962.0,5930.0,2117.0,26.0,10689.0
DEU,,,3845630030824.0,46259.0,0.6,11525.0,8702.0,45282.0,18009.0,23.0,83517.0
DJI,,,3318716359.0,3409.0,7.5,284.0,181.0,464.0,45.0,22.0,974.0
DMA,,,596033333.0,8300.0,5.7,13.0,12.0,39.0,7.0,29.0,72.0
DNK,,,348078018464.0,59822.0,2.4,947.0,721.0,2952.0,1152.0,12.0,5772.0
DOM,,,88941298258.0,8282.0,5.1,2976.0,1904.0,5076.0,784.0,18.0,10739.0
DZA,,,169988236398.0,3948.0,0.8,13153.0,5952.0,21127.0,2821.0,27.0,43053.0
ECU,,,107435665000.0,6184.0,0.1,4814.0,3115.0,8165.0,1281.0,36.0,17374.0
EGY,,,303175127598.0,3020.0,5.6,33966.0,16991.0,44134.0,5297.0,57.0,100388.0
ERI,,,,,,1454.0,638.0,1248.0,158.0,,3497.0
ESH,,,,,,160.0,98.0,306.0,19.0,,582.0
ESP,,,1394116310769.0,29614.0,2.0,6813.0,4475.0,26266.0,9183.0,19.0,46737.0
EST,,,31386949981.0,23660.0,4.3,218.0,122.0,720.0,265.0,31.0,1326.0
ETH,,,96107662398.0,858.0,8.3,45209.0,24215.0,38714.0,3941.0,79.0,112079.0
FIN,,,268761201365.0,48686.0,1.0,886.0,616.0,2806.0,1225.0,15.0,5532.0
FJI,,,5535548972.0,6220.0,1.1,261.0,146.0,433.0,50.0,43.0,890.0
FLK,,,,,,1.0,,2.0,1.0,,3.0
FRA,,,2715518274227.0,40494.0,1.5,,,,,19.0,
FRO,,,,,,9.0,7.0,24.0,9.0,58.0,49.0
FSM,,,,,,36.0,23.0,50.0,5.0,77.0,114.0
GAB,,,16657960228.0,7667.0,3.4,808.0,369.0,919.0,77.0,10.0,2173.0
GBR,,,2827113184696.0,42300.0,1.4,11950.0,7805.0,35276.0,12499.0,16.0,67530.0
GEO,,,17743195770.0,4769.0,5.1,801.0,459.0,2135.0,602.0,41.0,3997.0
GHA,,,66983634224.0,2202.0,6.5,11366.0,5895.0,12215.0,942.0,43.0,30418.0
GIB,,,,,,7.0,5.0,16.0,6.0,,34.0
GIN,,,13590281809.0,1064.0,5.6,5549.0,2738.0,4108.0,376.0,64.0,12771.0
GLP,,,,,,75.0,57.0,193.0,75.0,,400.0
GMB,,,1763819048.0,751.0,6.0,1036.0,473.0,778.0,60.0,38.0,2348.0
GNB,,,1340389411.0,698.0,4.6,810.0,379.0,677.0,55.0,56.0,1921.0
GNQ,,,11026774945.0,8132.0,-5.6,501.0,253.0,569.0,33.0,27.0,1356.0
GRC,,,209852761469.0,19583.0,1.9,1455.0,1057.0,5663.0,2298.0,21.0,10473.0
GRD,,,1228170370.0,10966.0,3.1,27.0,17.0,58.0,11.0,64.0,112.0
GRL,,,,,,12.0,8.0,32.0,5.0,13.0,57.0
GTM,,,76710385880.0,4620.0,3.8,5953.0,3706.0,7056.0,867.0,49.0,17581.0
GUF,,,,,,93.0,52.0,130.0,15.0,,291.0
GUM,,,,,,40.0,28.0,82.0,17.0,5.0,167.0
GUY,,,4280443645.0,5468.0,4.7,219.0,155.0,357.0,53.0,73.0,783.0
HKG,,,366029556273.0,48756.0,-1.2,917.0,673.0,4545.0,1301.0,,7436.0
HND,,,25095395475.0,2575.0,2.7,3037.0,2041.0,4197.0,471.0,42.0,9746.0
HRV,,,60415553039.0,14853.0,2.9,601.0,443.0,2225.0,862.0,43.0,4130.0
HTI,,,8498981821.0,755.0,-0.9,3701.0,2194.0,4798.0,570.0,44.0,11263.0
HUN,,,160967157504.0,16476.0,4.9,1398.0,1024.0,5355.0,1907.0,28.0,9685.0
IDN,,,1119190780753.0,4136.0,5.0,70945.0,45754.0,137553.0,16374.0,44.0,270626.0
IMN,,,,,,13.0,10.0,44.0,18.0,47.0,85.0
IND,,,2875142314812.0,2104.0,5.0,363717.0,247487.0,668065.0,87149.0,66.0,1366418.0
IRL,,,388698711348.0,78661.0,5.5,,,,,37.0,
IRN,,,,,,20442.0,11192.0,46007.0,5272.0,25.0,82914.0
IRQ,,,234094042939.0,5955.0,4.4,14946.0,7818.0,15210.0,1336.0,29.0,39310.0
ISL,,,24188035739.0,66945.0,1.9,67.0,44.0,177.0,52.0,6.0,339.0
ISR,,,395098666122.0,43641.0,3.5,2376.0,1269.0,3835.0,1040.0,7.0,8519.0
ITA,,,2001244392042.0,33190.0,0.3,7972.0,5827.0,32817.0,13934.0,29.0,60550.0
JAM,,,16458071068.0,5582.0,0.7,694.0,511.0,1481.0,263.0,44.0,2948.0
JOR,,,43743661972.0,4330.0,2.0,3390.0,1956.0,4362.0,393.0,9.0,10102.0
KAZ,,,180161741180.0,9731.0,4.5,5358.0,2233.0,9541.0,1420.0,42.0,18551.0
KEN,,,95503088538.0,1817.0,5.4,20606.0,10931.0,19764.0,1274.0,72.0,52574.0
KGZ,,,8454619608.0,1309.0,4.5,2085.0,1022.0,3013.0,295.0,63.0,6416.0
KHM,,,27089389787.0,1643.0,7.1,5127.0,3024.0,7558.0,778.0,76.0,16487.0
KIR,,,194647202.0,1655.0,2.2,42.0,21.0,49.0,5.0,45.0,118.0
KNA,,,1050992593.0,19896.0,2.5,11.0,8.0,30.0,4.0,69.0,53.0
KOR,,,1642383217167.0,31762.0,2.0,6529.0,5924.0,31057.0,7715.0,19.0,51225.0
KWT,,,134761198946.0,32032.0,0.4,907.0,429.0,2755.0,116.0,,4207.0
LAO,,,18173839128.0,2535.0,4.7,2316.0,1400.0,3155.0,299.0,64.0,7169.0
LBR,,,3070518100.0,622.0,-2.3,2012.0,983.0,1780.0,162.0,48.0,4937.0
