"LOCAL","SP_DYN_LE00_IN","SP_DYN_IMRT_IN","NY_GDP_MKTP_CD","NY_GDP_PCAP_CD","NY_GDP_MKTP_KD_ZG","200343","200144","200345","200151","SP_RUR_TOTL_ZS","200101","ANO"
"MYT",,,,,,"101.0","46.0","90.0","9.0",,"246.0","2016"
"MYT",,,,,,"105.0","52.0","98.0","11.0",,"266.0","2019"
"CAN","82.0","4.0","1.649878054227E12","45149.0","3.2","5829.0","4563.0","20153.0","6187.0","19.0","36732.0","2017"
"TUR","77.0","9.0","7.71350331373E11","9370.0","2.8","20296.0","13428.0","41631.0","6985.0","25.0","82340.0","2018"
"NPL",,,"3.0641380604E10","1071.0","7.0","8460.0","6389.0","12106.0","1654.0","80.0","28609.0","2019"
"NOR","83.0","2.0","3.98393955269E11","75497.0","2.3","936.0","678.0","2790.0","892.0","18.0","5296.0","2017"
"KIR","68.0","42.0","1.87276211E8","1641.0","0.9","40.0","22.0","48.0","4.0","47.0","114.0","2017"
"MNE","77.0","2.0","5.506766651E9","8850.0","5.1","114.0","82.0","337.0","94.0","33.0","628.0","2018"
"BTN",,,,,,"193.0","146.0","377.0","46.0","58.0","763.0","2019"
"BLR",,,"6.3080457023E10","6663.0","1.2","1610.0","894.0","5511.0","1437.0","21.0","9452.0","2019"
"ALB","78.0","9.0","1.1386846319E10","3953.0","2.2","540.0","498.0","1488.0","365.0","43.0","2891.0","2015"
"BLZ","74.0","13.0","1.7238E9","4776.0","2.8","116.0","74.0","155.0","16.0","55.0","361.0","2015"
"CZE","79.0","3.0","1.95090272403E11","18463.0","2.5","1615.0","1036.0","6002.0","1967.0","26.0","10619.0","2016"
"RUS","71.0","7.0","1.363481063447E12","9313.0","-2.0","24469.0","15505.0","85360.0","19651.0","26.0","144985.0","2015"
"SUR","72.0","17.0","3.458090452E9","6004.0","2.6","156.0","99.0","281.0","40.0","34.0","576.0","2018"
"LBY",,,"5.2076250948E10","7684.0","2.5","1902.0","1097.0","3476.0","302.0","20.0","6777.0","2019"
"ZWE",,,"2.14407588E10","1464.0","-8.1","6174.0","2945.0","5090.0","437.0","68.0","14645.0","2019"
"PNG","64.0","38.0","2.3412495063E10","2720.0","-0.8","3082.0","1689.0","3539.0","297.0","87.0","8606.0","2018"
"BEL","81.0","3.0","4.75900865684E11","41998.0","1.5","1932.0","1320.0","6016.0","2086.0","2.0","11354.0","2016"
"MYS",,,"3.64701517788E11","11415.0","4.3","7570.0","5588.0","16580.0","2211.0","23.0","31950.0","2019"
"PNG",,,"2.4969611435E10","2845.0","5.6","3114.0","1726.0","3628.0","308.0","87.0","8776.0","2019"
"ARE",,,"4.21142267938E11","43103.0","1.7","1438.0","1149.0","7071.0","113.0","13.0","9771.0","2019"
"AZE","72.0","23.0","5.3074370486E10","5500.0","1.0","2201.0","1613.0","5256.0","552.0","45.0","9623.0","2015"
"NRU",,"29.0","8.6779266E7","6956.0","3.7","4.0","2.0","4.0",,,"10.0","2015"
"HKG","85.0",,"3.41244161577E11","46166.0","3.8","838.0","747.0","4530.0","1191.0",,"7306.0","2017"
"NLD","82.0","3.0","7.65264949781E11","45175.0","2.0","2838.0","2073.0","8992.0","3035.0","10.0","16938.0","2015"
"OMN","77.0","10.0","7.06E10","15131.0","0.3","1028.0","655.0","2873.0","109.0","16.0","4666.0","2017"
"LAO","67.0","40.0","1.5805692546E10","2309.0","7.0","2273.0","1411.0","2894.0","268.0","66.0","6846.0","2016"
"CYM",,,"4.708336733E9","76280.0","2.8","12.0","8.0","37.0","6.0",,"62.0","2015"
"CHN","76.0","9.0","1.1233277146512E13","8148.0","6.8","254453.0","180260.0","840722.0","138614.0","43.0","1414049.0","2016"
"GRC","81.0","4.0","1.95222443513E11","18116.0","-0.2","1524.0","1076.0","5772.0","2243.0","22.0","10615.0","2016"
"LUX","82.0","2.0","5.7744457955E10","101376.0","4.3","93.0","70.0","325.0","79.0","10.0","567.0","2015"
"GIN","60.0","68.0","8.603884845E9","733.0","10.8","5241.0","2493.0","3665.0","339.0","65.0","11738.0","2016"
"SSD","57.0","64.0",,,,"4579.0","2193.0","3690.0","371.0","81.0","10833.0","2016"
"AZE","73.0","20.0","4.0865558912E10","4147.0","0.2","2293.0","1496.0","5467.0","590.0","45.0","9845.0","2017"
"VNM","75.0","17.0","2.45213686369E11","2567.0","7.1","22141.0","14053.0","52402.0","6951.0","64.0","95546.0","2018"
"MCO",,"3.0","6.261622101E9","166012.0","4.9",,,,,,,"2015"
"KOR","83.0","3.0","1.623901496836E12","31617.0","3.2","6758.0","6391.0","30870.0","7078.0","18.0","51096.0","2017"
"LBY","72.0","11.0","2.784213148E10","4338.0","-8.9","1853.0","1106.0","3187.0","272.0","21.0","6418.0","2015"
"GRL","71.0",,"2.499115623E9","44536.0","-2.5","12.0","8.0","32.0","4.0","14.0","56.0","2015"
"KAZ","73.0","9.0","1.66805800596E11","9248.0","4.1","5047.0","2384.0","9359.0","1290.0","43.0","18080.0","2017"
"LUX","83.0","2.0","6.0691483443E10","104278.0","4.6","94.0","72.0","332.0","81.0","10.0","579.0","2016"
"GRC","81.0","4.0","1.96591353761E11","18168.0","-0.4","1552.0","1086.0","5802.0","2219.0","22.0","10660.0","2015"
"TGO",,,"5.459979417E9","676.0","5.3","3314.0","1584.0","2952.0","233.0","58.0","8082.0","2019"
"BRN","76.0","10.0","1.3567351175E10","31628.0","0.1","99.0","70.0","240.0","21.0","22.0","429.0","2018"
"CRI",,,"6.1773944174E10","12238.0","2.1","1064.0","775.0","2709.0","499.0","20.0","5048.0","2019"
"DJI","64.0","54.0","2.430287967E9","2659.0","7.7","279.0","178.0","418.0","39.0","23.0","914.0","2015"
"BRA","75.0","13.0","2.062831045936E12","9925.0","1.3","45066.0","34088.0","110794.0","17885.0","14.0","207834.0","2017"
"GIN","61.0","65.0","1.2207116729E10","983.0","6.2","5444.0","2657.0","3950.0","363.0","64.0","12414.0","2018"
"DEU","81.0","3.0","3.360549973889E12","41140.0","1.7","10810.0","8665.0","44959.0","17354.0","23.0","81787.0","2015"
"TZA","63.0","42.0","4.7378599025E10","948.0","6.2","23004.0","10003.0","17170.0","1307.0","68.0","51483.0","2015"
"PLW",,"18.0","2.803761E8","15872.0","10.1","4.0","3.0","10.0","1.0","22.0","18.0","2015"
"BRB","79.0","12.0","4.83E9","16900.0","2.5","51.0","38.0","154.0","43.0","69.0","286.0","2016"
"CUB",,,,,,"1818.0","1367.0","6385.0","1764.0","23.0","11333.0","2019"
"MHL",,,,,,"22.0","13.0","21.0","3.0","23.0","59.0","2019"
"NER","62.0","48.0","1.2826750567E10","572.0","7.0","11218.0","4315.0","6327.0","582.0","84.0","22443.0","2018"
"GAB","66.0","34.0","1.4929488771E10","7230.0","0.5","760.0","366.0","864.0","74.0","11.0","2065.0","2017"
"SAU",,,"7.92966838162E11","23140.0","0.3","8521.0","4660.0","19918.0","1170.0","16.0","34269.0","2019"
"BHS","73.0","9.0","1.17523E10","31406.0","0.6","90.0","65.0","194.0","25.0","17.0","374.0","2015"
"KOR","82.0","3.0","1.465773245547E12","28732.0","2.8","7004.0","6704.0","30579.0","6536.0","18.0","50823.0","2015"
"NZL","82.0","5.0","2.05415864858E11","42849.0","3.2","927.0","648.0","2406.0","721.0","14.0","4702.0","2017"
"SLV","73.0","12.0","2.61174E10","4068.0","2.4","1742.0","1265.0","2882.0","532.0","28.0","6421.0","2018"
"MHL",,"29.0","2.005584E8","3474.0","1.3","23.0","11.0","22.0","2.0","24.0","58.0","2016"
"MAR","76.0","20.0","1.09714300454E11","3036.0","4.2","9768.0","5938.0","17473.0","2403.0","38.0","35581.0","2017"
"ASM",,,"6.52E8","11697.0","-2.8","18.0","11.0","24.0","3.0","13.0","56.0","2016"
"CUB","79.0","4.0","8.7133E10","7694.0","4.4","1888.0","1452.0","6393.0","1591.0","23.0","11325.0","2015"
"BEN","61.0","61.0","1.4250985959E10","1241.0","6.7","4875.0","2279.0","3957.0","374.0","53.0","11485.0","2018"
"KEN","66.0","32.0","7.8965004656E10","1572.0","4.8","20264.0","10292.0","18532.0","1133.0","73.0","50221.0","2017"
"MWI","64.0","35.0","6.917301909E9","381.0","3.2","7965.0","3769.0","5929.0","480.0","83.0","18143.0","2018"
"MMR",,,"7.6085852617E10","1408.0","2.9","14006.0","9795.0","26996.0","3249.0","69.0","54045.0","2019"
"MOZ","57.0","59.0","1.5950969019E10","590.0","6.7","12283.0","5382.0","8593.0","784.0","66.0","27042.0","2015"
"ASM",,,"6.02E8","10823.0","-5.9","17.0","11.0","25.0","3.0","13.0","56.0","2017"
"AGO","60.0","56.0","1.0112385109E11","3506.0","-2.6","13571.0","5564.0","9055.0","652.0","36.0","28842.0","2016"
"GUM","79.0",,"5.795E9","35563.0","0.3","41.0","28.0","79.0","15.0","5.0","163.0","2016"
"MWI","63.0","37.0","6.303292264E9","357.0","4.0","7827.0","3660.0","5715.0","468.0","83.0","17670.0","2017"
"ARG","76.0","10.0","5.94749285413E11","13789.0","2.7","10860.0","7023.0","20571.0","4621.0","8.0","43075.0","2015"
"SWZ","59.0","43.0","4.71061847E9","4146.0","2.4","433.0","241.0","417.0","46.0","76.0","1136.0","2018"
"SGP","83.0","2.0","3.41863349989E11","60914.0","4.3","697.0","751.0","3656.0","604.0",,"5708.0","2017"
"TCA",,,,,,"8.0","6.0","22.0","3.0","7.0","38.0","2019"
"TON",,,,,,"37.0","21.0","41.0","6.0","77.0","104.0","2019"
"SRB","76.0","5.0","4.412042532E10","6284.0","2.0","1397.0","1072.0","4780.0","1580.0","44.0","8830.0","2017"
"CAN",,,"1.73642562952E12","46195.0","1.7","5928.0","4413.0","20467.0","6602.0","19.0","37411.0","2019"
"FLK",,,,,,,,"1.0","1.0",,"3.0","2015"
"FLK",,,,,,,,"1.0","1.0",,"3.0","2016"
"FLK",,,,,,,,"2.0","1.0",,"3.0","2017"
"HND","75.0","16.0","2.313623223E10","2454.0","4.8","3050.0","1997.0","3953.0","430.0","44.0","9429.0","2017"
"PRT","81.0","3.0","2.41274628877E11","23462.0","2.6","1380.0","1075.0","5549.0","2252.0","35.0","10256.0","2018"
"FLK",,,,,,"1.0",,"2.0","1.0",,"3.0","2019"
"ISL","83.0","2.0","2.448817654E10","71311.0","4.5","67.0","46.0","174.0","48.0","6.0","334.0","2017"
"TKM","68.0","41.0","3.7926285714E10","6587.0","6.5","1780.0","979.0","2753.0","246.0","49.0","5758.0","2017"
"BFA",,,"1.5745810235E10","775.0","5.7","9079.0","4090.0","6663.0","489.0","70.0","20321.0","2019"
"LTU","74.0","4.0","4.1392396558E10","14249.0","2.0","428.0","376.0","1580.0","548.0","33.0","2932.0","2015"
"STP","70.0","26.0","3.47544772E8","1710.0","4.2","88.0","38.0","72.0","6.0","29.0","203.0","2016"
"SLE","54.0","79.0","4.085114794E9","534.0","3.4","3141.0","1553.0","2729.0","227.0","58.0","7650.0","2018"
"DMA",,"29.0","5.40737037E8","7596.0","-2.7","14.0","14.0","36.0","7.0","30.0","71.0","2015"
"ECU","77.0","12.0","1.07562008E11","6296.0","1.3","4789.0","3092.0","7981.0","1223.0","36.0","17084.0","2018"
"BDI",,,"3.012334882E9","261.0","1.8","5235.0","2203.0","3826.0","267.0","87.0","11531.0","2019"
"NER","61.0","52.0","9.667589437E9","483.0","4.4","10034.0","3765.0","5688.0","515.0","84.0","20002.0","2015"
"PRT",,,"2.37686075635E11","23145.0","2.2","1355.0","1071.0","5514.0","2286.0","34.0","10226.0","2019"
"KWT","75.0","7.0","1.40645364238E11","33994.0","1.2","891.0","429.0","2712.0","106.0",,"4137.0","2018"
"BTN","70.0","28.0","2.003598213E9","2753.0","6.6","199.0","153.0","333.0","42.0","61.0","728.0","2015"
"CIV","57.0","59.0","5.7724731365E10","2303.0","6.8","10513.0","5180.0","8660.0","717.0","49.0","25069.0","2018"
"NER",,,"1.292814512E10","555.0","5.8","11619.0","4515.0","6572.0","605.0","83.0","23311.0","2019"
"AND",,"3.0","3.218316013E9","41793.0","1.6",,,,,"12.0",,"2018"
"LKA","76.0","7.0","8.240103871E10","3886.0","4.5","5170.0","3116.0","10681.0","2053.0","82.0","21021.0","2016"
"KWT","75.0","7.0","1.14567298106E11","29870.0","0.6","813.0","431.0","2510.0","81.0",,"3836.0","2015"
"FLK",,,,,,"1.0",,"2.0","1.0",,"3.0","2018"
"ABW","76.0",,"3.056424581E9","29008.0","2.0","19.0","15.0","58.0","14.0","57.0","105.0","2017"
"USA","79.0","6.0","2.0580223E13","62997.0","3.2",,,,,"18.0",,"2018"
"ETH","66.0","41.0","8.1770791971E10","769.0","9.6","43891.0","23023.0","35775.0","3711.0","80.0","106400.0","2017"
"MLT","82.0","6.0","1.274785757E10","27239.0","6.5","62.0","50.0","238.0","87.0","5.0","438.0","2017"
"CMR",,,"3.8760467033E10","1498.0","4.0","10962.0","5130.0","9080.0","705.0","43.0","25876.0","2019"
"DNK","81.0","4.0","3.02673068766E11","53255.0","2.3","958.0","749.0","2898.0","1084.0","12.0","5689.0","2015"
"ARE","77.0","7.0","3.58135057862E11","38663.0","5.1","1312.0","988.0","6876.0","86.0","14.0","9263.0","2015"
"GIN",,,"1.3590281809E10","1064.0","5.6","5549.0","2738.0","4108.0","376.0","64.0","12771.0","2019"
"TCD","53.0","75.0","1.0097778354E10","693.0","-6.3","6937.0","2954.0","4314.0","357.0","77.0","14562.0","2016"
"POL","78.0","4.0","5.87114101393E11","15461.0","5.3","5708.0","3949.0","21622.0","6643.0","40.0","37922.0","2018"
"BRB","79.0","11.0","5.0865E9","17745.0","-0.6","50.0","38.0","154.0","45.0","69.0","287.0","2018"
"KOR",,,"1.642383217167E12","31762.0","2.0","6529.0","5924.0","31057.0","7715.0","19.0","51225.0","2019"
"MNG","69.0","16.0","1.174962062E10","3919.0","2.4","865.0","504.0","1513.0","116.0","32.0","2998.0","2015"
"CZE",,,"2.46489245495E11","23102.0","2.6","1681.0","962.0","5930.0","2117.0","26.0","10689.0","2019"
"GUM","80.0",,"5.92E9","35713.0","-0.3","41.0","28.0","81.0","16.0","5.0","166.0","2018"
"EGY","71.0","19.0","3.32927833278E11","3525.0","4.3","31777.0","16619.0","41190.0","4861.0","57.0","94447.0","2016"
"NLD","82.0","3.0","7.83528181705E11","46008.0","2.2","2815.0","2066.0","8981.0","3120.0","9.0","16981.0","2016"
"CYM",,,"5.141833913E9","81125.0","3.0","12.0","8.0","38.0","6.0",,"63.0","2017"
"BRN",,,"1.3469422941E10","31087.0","3.9","98.0","69.0","243.0","23.0","22.0","433.0","2019"
"CRI","80.0","8.0","5.4775994479E10","11299.0","3.6","1074.0","822.0","2531.0","421.0","23.0","4848.0","2015"
"NPL","70.0","30.0","2.1410840909E10","793.0","3.3","9010.0","5934.0","10574.0","1497.0","81.0","27015.0","2015"
"TKM","68.0","43.0","3.5799714286E10","6433.0","6.5","1694.0","1021.0","2624.0","227.0","50.0","5565.0","2015"
"MLT","82.0","6.0","1.1444483134E10","25133.0","5.8","62.0","52.0","238.0","85.0","6.0","436.0","2016"
"KGZ",,,"8.454619608E9","1309.0","4.5","2085.0","1022.0","3013.0","295.0","63.0","6416.0","2019"
"KWT","75.0","7.0","1.20707220574E11","29759.0","-4.7","869.0","430.0","2661.0","97.0",,"4056.0","2017"
"KEN","66.0","31.0","8.7778582964E10","1708.0","6.3","20445.0","10609.0","19136.0","1202.0","73.0","51393.0","2018"
"ARG",,,"4.49663446954E11","10006.0","-2.2","11014.0","7014.0","21717.0","5035.0","8.0","44781.0","2019"
"GUF",,,,,,"87.0","44.0","118.0","11.0",,"261.0","2015"
"GUF",,,,,,"89.0","46.0","121.0","12.0",,"268.0","2016"
"GUF",,,,,,"90.0","48.0","124.0","13.0",,"275.0","2017"
"GUF",,,,,,"92.0","50.0","127.0","14.0",,"283.0","2018"
"GUF",,,,,,"93.0","52.0","130.0","15.0",,"291.0","2019"
"MOZ","59.0","56.0","1.3219084261E10","461.0","3.7","12880.0","5784.0","9154.0","830.0","65.0","28649.0","2017"
"LIE","82.0",,"6.237264055E9","165629.0",,"6.0","4.0","21.0","6.0","86.0","38.0","2016"
"SYC","74.0","13.0","1.426651766E9","15069.0","4.6","22.0","14.0","53.0","7.0","44.0","96.0","2016"
"BOL","71.0","23.0","3.7508642113E10","3351.0","4.2","3530.0","2137.0","4737.0","789.0","31.0","11193.0","2017"
"FSM",,,,,,"36.0","23.0","50.0","5.0","77.0","114.0","2019"
"VCT","72.0","16.0","7.554E8","6921.0","1.3","26.0","18.0","55.0","10.0","49.0","109.0","2015"
"AFG","64.0","49.0","2.019176E10","556.0","2.7","15855.0","7823.0","11691.0","927.0","75.0","36296.0","2017"
"TUN","77.0","15.0","3.9770297329E10","3439.0","2.7","2795.0","1649.0","6159.0","962.0","31.0","11565.0","2018"
"KAZ","72.0","10.0","1.37278320084E11","7715.0","1.1","4869.0","2497.0","9231.0","1234.0","43.0","17831.0","2016"
"ABW","76.0",,"2.919553073E9","27981.0","5.7","20.0","15.0","57.0","13.0","57.0","104.0","2015"
"ERI","65.0","34.0",,,,"1414.0","618.0","1165.0","146.0",,"3343.0","2015"
"ETH","65.0","42.0","7.4296618481E10","717.0","9.4","43224.0","22347.0","34434.0","3598.0","80.0","103603.0","2016"
"ERI","66.0","32.0",,,,"1432.0","619.0","1210.0","153.0",,"3413.0","2017"
"ISR",,,"3.95098666122E11","43641.0","3.5","2376.0","1269.0","3835.0","1040.0","7.0","8519.0","2019"
"ERI",,,,,,"1454.0","638.0","1248.0","158.0",,"3497.0","2019"
"TON","71.0","14.0","4.30174169E8","4217.0","2.7","36.0","20.0","40.0","6.0","77.0","102.0","2017"
"DJI","67.0","50.0","3.01282041E9","3142.0","8.4","284.0","180.0","452.0","43.0","22.0","959.0","2018"
"TJK","71.0","30.0","7.52294781E9","827.0","7.3","3348.0","1655.0","3823.0","275.0","73.0","9101.0","2018"
"THA","77.0","8.0","5.06514103905E11","7295.0","4.2","11863.0","9448.0","39855.0","8263.0","50.0","69428.0","2018"
"IRN","76.0","14.0","3.84951479697E11","4904.0","-1.3","18744.0","12493.0","42696.0","4559.0","27.0","78492.0","2015"
"PAK","67.0","61.0","2.78654637738E11","1368.0","5.5","72693.0","41083.0","81068.0","8788.0","64.0","203631.0","2016"
"KIR",,,"1.94647202E8","1655.0","2.2","42.0","21.0","49.0","5.0","45.0","118.0","2019"
"ARM","75.0","12.0","1.054613516E10","3592.0","0.2","595.0","401.0","1618.0","322.0","37.0","2936.0","2016"
"MDG","66.0","41.0","1.1323023787E10","467.0","3.1","10092.0","4953.0","8502.0","687.0","65.0","24234.0","2015"
"SMR",,"2.0","1.528468143E9","45394.0","0.6","5.0","3.0","19.0","6.0","3.0","34.0","2017"
"TCA",,,"9.6252584E8","25934.0","4.3","8.0","5.0","21.0","2.0","7.0","37.0","2017"
"MAR","76.0","19.0","1.17921394402E11","3222.0","3.0","9802.0","5895.0","17805.0","2527.0","38.0","36029.0","2018"
"USA","79.0","6.0","1.8219297584E13","56823.0","2.9","61685.0","44498.0","167710.0","46986.0","18.0","320878.0","2015"
"MRT",,,"7.59375245E9","1678.0","5.9","1805.0","865.0","1713.0","143.0","45.0","4526.0","2019"
"FSM","68.0","26.0","3.666668E8","3290.0","2.7","36.0","24.0","48.0","4.0","77.0","111.0","2017"
"DEU",,,"3.845630030824E12","46259.0","0.6","11525.0","8702.0","45282.0","18009.0","23.0","83517.0","2019"
"ARE","78.0","7.0","3.85605506855E11","40645.0","2.4","1376.0","1130.0","6883.0","98.0","14.0","9487.0","2017"
"JPN","84.0","2.0","4.389475622589E12","34524.0","1.2",,,,,"9.0",,"2015"
"VNM","75.0","17.0","2.05276172135E11","2192.0","6.2","21572.0","15124.0","50553.0","6391.0","65.0","93640.0","2016"
"SVK","77.0","5.0","1.05820499977E11","19428.0","3.9","842.0","585.0","3173.0","852.0","46.0","5453.0","2018"
"AFG","63.0","53.0","1.9907111419E10","578.0","1.5","15444.0","7278.0","10839.0","853.0","75.0","34414.0","2015"
"ARG","77.0","9.0","5.19871519808E11","11684.0","-2.5","10984.0","7017.0","21428.0","4932.0","8.0","44361.0","2018"
"SRB","75.0","6.0","3.962854995E10","5585.0","1.8","1435.0","1098.0","4839.0","1505.0","44.0","8877.0","2015"
"SYR","70.0","14.0",,,,"5949.0","3521.0","7809.0","718.0","48.0","17997.0","2015"
"MSR",,,,,,"1.0",,"3.0","1.0",,"5.0","2015"
"MSR",,,,,,"1.0",,"3.0","1.0",,"5.0","2017"
"URY","77.0","8.0","5.3274304222E10","15614.0","0.4","719.0","518.0","1680.0","494.0","5.0","3412.0","2015"
"MSR",,,,,,"1.0",,"3.0","1.0",,"5.0","2016"
"ATG","77.0","5.0","1.467977778E9","15383.0","3.1","21.0","15.0","51.0","8.0","75.0","95.0","2017"
"JOR","74.0","14.0","4.0708943662E10","4163.0","2.1","3414.0","1890.0","4109.0","373.0","9.0","9786.0","2017"
"MSR",,,,,,"1.0",,"3.0","1.0",,"5.0","2019"
"COL","77.0","13.0","3.11883730442E11","6378.0","1.4","11522.0","8680.0","24698.0","4010.0","20.0","48910.0","2017"
"MSR",,,,,,"1.0",,"3.0","1.0",,"5.0","2018"
"AND",,"3.0","2.789870188E9","35763.0","1.4",,,,,"12.0",,"2015"
"HRV","78.0","4.0","5.1596973259E10","12360.0","3.5","607.0","477.0","2299.0","826.0","44.0","4209.0","2016"
"EGY",,,"3.03175127598E11","3020.0","5.6","33966.0","16991.0","44134.0","5297.0","57.0","100388.0","2019"
"LSO","52.0","70.0","2.165408362E9","1044.0","5.0","689.0","422.0","864.0","100.0","73.0","2075.0","2016"
"CHE","83.0","4.0","6.79832291693E11","82082.0","1.3","1227.0","942.0","4634.0","1493.0","26.0","8297.0","2015"
"CUB","79.0","4.0","1.00023E11","8822.0","2.2","1838.0","1386.0","6393.0","1722.0","23.0","11338.0","2018"
"KAZ",,,"1.8016174118E11","9731.0","4.5","5358.0","2233.0","9541.0","1420.0","42.0","18551.0","2019"
"DZA",,,"1.69988236398E11","3948.0","0.8","13153.0","5952.0","21127.0","2821.0","27.0","43053.0","2019"
"REU",,,,,,"210.0","127.0","437.0","89.0",,"863.0","2015"
"PSE","74.0","18.0","1.34257E10","3074.0","4.7","1835.0","996.0","1663.0","142.0","24.0","4636.0","2016"
"REU",,,,,,"207.0","130.0","441.0","98.0",,"876.0","2017"
"REU",,,,,,"205.0","132.0","443.0","103.0",,"883.0","2018"
"REU",,,,,,"209.0","128.0","439.0","93.0",,"870.0","2016"
"REU",,,,,,"202.0","133.0","445.0","108.0",,"889.0","2019"
"BFA","61.0","49.0","1.6199434625E10","820.0","6.8","8878.0","3960.0","6438.0","475.0","71.0","19751.0","2018"
"SVK","77.0","5.0","8.9640616271E10","16506.0","2.1","831.0","631.0","3189.0","792.0","46.0","5442.0","2016"
"LUX","82.0","2.0","6.4181944723E10","107627.0","1.8","95.0","73.0","340.0","83.0","9.0","592.0","2017"
"QAT","80.0","6.0","1.51732142857E11","57163.0","2.1","358.0","379.0","1888.0","29.0","1.0","2654.0","2016"
"BEN","61.0","62.0","1.2701656931E10","1137.0","5.7","4768.0","2218.0","3827.0","363.0","53.0","11175.0","2017"
"PRK",,,,,,"5132.0","3860.0","14298.0","2376.0","38.0","25666.0","2019"
"SPM",,,,,,"1.0","1.0","3.0","1.0",,"6.0","2015"
"RUS","72.0","7.0","1.276786979222E12","8705.0","0.2","25119.0","14734.0","85252.0","20170.0","26.0","145275.0","2016"
"SPM",,,,,,"1.0","1.0","3.0","1.0",,"6.0","2017"
"SPM",,,,,,"1.0","1.0","3.0","1.0",,"6.0","2018"
"SPM",,,,,,"1.0","1.0","3.0","1.0",,"6.0","2016"
"DNK","81.0","4.0","3.13115929314E11","54664.0","3.2","948.0","748.0","2906.0","1109.0","12.0","5711.0","2016"
"SGP","83.0","2.0","3.18652334419E11","56828.0","3.2","695.0","772.0","3634.0","552.0",,"5654.0","2016"
"HKG","85.0",,"3.61693053518E11","48543.0","2.9","877.0","710.0","4540.0","1244.0",,"7372.0","2018"
"LBR","62.0","59.0","3.177E9","710.0",,"1882.0","856.0","1592.0","142.0","50.0","4472.0","2015"
"UZB","72.0","19.0","5.0392607758E10","1529.0","5.4","9316.0","5543.0","16182.0","1435.0","50.0","32476.0","2018"
"SLE","53.0","84.0","3.67479453E9","501.0","6.1","3051.0","1484.0","2575.0","219.0","59.0","7329.0","2016"
"POL",,,"5.92164400688E11","15595.0","4.1","5753.0","3804.0","21466.0","6864.0","40.0","37888.0","2019"
"JAM","74.0","14.0","1.4187696311E10","4908.0","0.9","711.0","540.0","1394.0","246.0","45.0","2891.0","2015"
"PER","76.0","11.0","2.11007207484E11","6711.0","2.5","8290.0","5382.0","15317.0","2456.0","22.0","31444.0","2017"
"GRL",,,"3.05162639E9","54471.0","3.2","12.0","8.0","32.0","5.0","13.0","57.0","2018"
"HTI","62.0","53.0","8.724656126E9","816.0","1.2","3677.0","2139.0","4384.0","496.0","48.0","10696.0","2015"
"ETH","65.0","44.0","6.4589334979E10","641.0","10.4","42527.0","21630.0","33196.0","3482.0","81.0","100835.0","2015"
"SPM",,,,,,"1.0","1.0","3.0","1.0",,"6.0","2019"
"CAF","52.0","87.0","2.072350151E9","451.0","4.5","2052.0","978.0","1436.0","130.0","59.0","4596.0","2017"
"DZA","76.0","21.0","1.60033844071E11","3946.0","3.2","11814.0","6432.0","19869.0","2436.0","29.0","40551.0","2016"
"LVA","75.0","3.0","3.4313873285E10","17805.0","4.3","308.0","171.0","1063.0","387.0","32.0","1928.0","2018"
"LCA","76.0","16.0","1.865375222E9","10362.0","4.0","35.0","33.0","96.0","17.0","81.0","180.0","2016"
"BTN","71.0","25.0","2.446674102E9","3243.0","3.0","194.0","148.0","366.0","45.0","59.0","754.0","2018"
"HTI","63.0","52.0","7.970649131E9","735.0","1.5","3686.0","2152.0","4490.0","513.0","47.0","10840.0","2016"
"TUV",,"21.0","4.2588165E7","3701.0","2.5","4.0","2.0","5.0","1.0","38.0","12.0","2018"
"CYM",,,"5.485419417E9","85477.0","3.3","12.0","8.0","38.0","7.0",,"64.0","2018"
"NZL","82.0","5.0","2.07920613962E11","42950.0","3.8","932.0","640.0","2428.0","742.0","13.0","4743.0","2018"
"TGO","60.0","50.0","4.486979198E9","597.0","5.6","3147.0","1444.0","2707.0","212.0","59.0","7510.0","2016"
"ATG","76.0","6.0","1.336692593E9","14286.0","3.8","21.0","15.0","50.0","8.0","75.0","94.0","2015"
"AGO","60.0","53.0","1.22123822334E11","4096.0","-0.1","14000.0","5754.0","9395.0","668.0","35.0","29817.0","2017"
"MOZ","60.0","54.0","1.4717223207E10","499.0","3.4","13176.0","6004.0","9463.0","853.0","64.0","29496.0","2018"
"LBR","63.0","57.0","3.277826E9","715.0","-1.6","1917.0","885.0","1638.0","147.0","50.0","4587.0","2016"
"BEN",,,"1.4390709095E10","1219.0","6.9","4981.0","2342.0","4093.0","385.0","52.0","11801.0","2019"
"SYC","74.0","13.0","1.524486801E9","15906.0","4.4","23.0","13.0","53.0","7.0","44.0","96.0","2017"
"MNG","70.0","14.0","1.3108769496E10","4135.0","7.2","964.0","460.0","1617.0","129.0","32.0","3170.0","2018"
"LCA","76.0","15.0","1.999090407E9","11047.0","3.5","34.0","32.0","97.0","17.0","81.0","181.0","2017"
"ABW","76.0",,"2.965921788E9","28281.0","2.1","19.0","15.0","57.0","13.0","57.0","105.0","2016"
"RUS",,,"1.699876578871E12","11585.0","1.3","26483.0","13728.0","83644.0","22018.0","25.0","145872.0","2019"
"BHS",,,"1.2827E10","32933.0","1.8","86.0","66.0","208.0","29.0","17.0","389.0","2019"
