ref_area,indicator,source,sex,classif1,time,obs_value,obs_status,note_classif,note_indicator,note_source
ALB,SDG_0852_SEX_AGE_RT,BA:480,SEX_F,AGE_YTHADULT_Y15-24,2007,24.943,B,,I11:264,R1:3513
ALB,SDG_0852_SEX_AGE_RT,BA:480,SEX_F,AGE_YTHADULT_YGE25,2007,14.8321,B,,I11:264,R1:3513
ALB,SDG_0852_SEX_AGE_RT,BA:480,SEX_T,AGE_YTHADULT_YGE15,2008,13.0599,,,,R1:3513
ALB,SDG_0852_SEX_AGE_RT,BA:480,SEX_T,AGE_YTHADULT_Y15-64,2008,13.1924,,,,R1:3513
ALB,SDG_0852_SEX_AGE_RT,BA:480,SEX_T,AGE_YTHADULT_Y15-24,2008,27.0624,,,,R1:3513
ALB,SDG_0852_SEX_AGE_RT,BA:480,SEX_T,AGE_YTHADULT_YGE25,2008,10.9295,,,,R1:3513
ALB,SDG_0852_SEX_AGE_RT,BA:480,SEX_M,AGE_YTHADULT_YGE15,2008,12.5207,,,,R1:3513
ALB,SDG_0852_SEX_AGE_RT,BA:480,SEX_M,AGE_YTHADULT_Y15-64,2008,12.6849,,,,R1:3513
ALB,SDG_0852_SEX_AGE_RT,BA:480,SEX_M,AGE_YTHADULT_Y15-24,2008,26.8782,,,,R1:3513
ALB,SDG_0852_SEX_AGE_RT,BA:480,SEX_M,AGE_YTHADULT_YGE25,2008,10.3034,,,,R1:3513
ALB,SDG_0852_SEX_AGE_RT,BA:480,SEX_F,AGE_YTHADULT_YGE15,2008,13.7219,,,,R1:3513
ALB,SDG_0852_SEX_AGE_RT,BA:480,SEX_F,AGE_YTHADULT_Y15-64,2008,13.8085,,,,R1:3513
ALB,SDG_0852_SEX_AGE_RT,BA:480,SEX_F,AGE_YTHADULT_Y15-24,2008,27.2953,,,,R1:3513
ALB,SDG_0852_SEX_AGE_RT,BA:480,SEX_F,AGE_YTHADULT_YGE25,2008,11.6948,,,,R1:3513
ALB,SDG_0852_SEX_AGE_RT,BA:480,SEX_T,AGE_YTHADULT_YGE15,2009,13.6739,,,,R1:3513
ALB,SDG_0852_SEX_AGE_RT,BA:480,SEX_T,AGE_YTHADULT_Y15-64,2009,13.7344,,,,R1:3513
ALB,SDG_0852_SEX_AGE_RT,BA:480,SEX_T,AGE_YTHADULT_Y15-24,2009,26.9777,,,,R1:3513
ALB,SDG_0852_SEX_AGE_RT,BA:480,SEX_T,AGE_YTHADULT_YGE25,2009,11.154,,,,R1:3513
ALB,SDG_0852_SEX_AGE_RT,BA:480,SEX_M,AGE_YTHADULT_YGE15,2009,12.1358,,,,R1:3513
ALB,SDG_0852_SEX_AGE_RT,BA:480,SEX_M,AGE_YTHADULT_Y15-64,2009,12.1883,,,,R1:3513
ALB,SDG_0852_SEX_AGE_RT,BA:480,SEX_M,AGE_YTHADULT_Y15-24,2009,26.1571,,,,R1:3513
ALB,SDG_0852_SEX_AGE_RT,BA:480,SEX_M,AGE_YTHADULT_YGE25,2009,9.5752,,,,R1:3513
ALB,SDG_0852_SEX_AGE_RT,BA:480,SEX_F,AGE_YTHADULT_YGE15,2009,15.6435,,,,R1:3513
ALB,SDG_0852_SEX_AGE_RT,BA:480,SEX_F,AGE_YTHADULT_Y15-64,2009,15.7021,,,,R1:3513
ALB,SDG_0852_SEX_AGE_RT,BA:480,SEX_F,AGE_YTHADULT_Y15-24,2009,27.9588,,,,R1:3513
ALB,SDG_0852_SEX_AGE_RT,BA:480,SEX_F,AGE_YTHADULT_YGE25,2009,13.2025,,,,R1:3513
ALB,SDG_0852_SEX_AGE_RT,BA:480,SEX_T,AGE_YTHADULT_YGE15,2010,14.086,,,,R1:3513
ALB,SDG_0852_SEX_AGE_RT,BA:480,SEX_T,AGE_YTHADULT_Y15-64,2010,14.205,,,,R1:3513
ALB,SDG_0852_SEX_AGE_RT,BA:480,SEX_T,AGE_YTHADULT_Y15-24,2010,30.5003,,,,R1:3513
ALB,SDG_0852_SEX_AGE_RT,BA:480,SEX_T,AGE_YTHADULT_YGE25,2010,11.194,,,,R1:3513
ALB,SDG_0852_SEX_AGE_RT,BA:480,SEX_M,AGE_YTHADULT_YGE15,2010,12.732,,,,R1:3513
ALB,SDG_0852_SEX_AGE_RT,BA:480,SEX_M,AGE_YTHADULT_Y15-64,2010,12.8866,,,,R1:3513
ALB,SDG_0852_SEX_AGE_RT,BA:480,SEX_M,AGE_YTHADULT_Y15-24,2010,29.6153,,,,R1:3513
ALB,SDG_0852_SEX_AGE_RT,BA:480,SEX_M,AGE_YTHADULT_YGE25,2010,9.5275,,,,R1:3513
ALB,SDG_0852_SEX_AGE_RT,BA:480,SEX_F,AGE_YTHADULT_YGE15,2010,15.8438,,,,R1:3513
ALB,SDG_0852_SEX_AGE_RT,BA:480,SEX_F,AGE_YTHADULT_Y15-64,2010,15.9044,,,,R1:3513
ALB,SDG_0852_SEX_AGE_RT,BA:480,SEX_F,AGE_YTHADULT_Y15-24,2010,31.8365,,,,R1:3513
ALB,SDG_0852_SEX_AGE_RT,BA:480,SEX_F,AGE_YTHADULT_YGE25,2010,13.3013,,,,R1:3513
ALB,SDG_0852_SEX_AGE_RT,BA:480,SEX_T,AGE_YTHADULT_YGE15,2011,13.4809,,,,R1:3513
ALB,SDG_0852_SEX_AGE_RT,BA:480,SEX_T,AGE_YTHADULT_Y15-64,2011,13.7769,,,,R1:3513
ALB,SDG_0852_SEX_AGE_RT,BA:480,SEX_T,AGE_YTHADULT_Y15-24,2011,22.6626,,,,R1:3513
ALB,SDG_0852_SEX_AGE_RT,BA:480,SEX_T,AGE_YTHADULT_YGE25,2011,11.57,,,,R1:3513
ALB,SDG_0852_SEX_AGE_RT,BA:480,SEX_M,AGE_YTHADULT_YGE15,2011,13.2651,,,,R1:3513
ALB,SDG_0852_SEX_AGE_RT,BA:480,SEX_M,AGE_YTHADULT_Y15-64,2011,13.5776,,,,R1:3513
ALB,SDG_0852_SEX_AGE_RT,BA:480,SEX_M,AGE_YTHADULT_Y15-24,2011,24.7622,,,,R1:3513
ALB,SDG_0852_SEX_AGE_RT,BA:480,SEX_M,AGE_YTHADULT_YGE25,2011,10.6306,,,,R1:3513
