Local,SP_DYN_LE00_IN,SP_DYN_IMRT_IN,NY_GDP_MKTP_CD,NY_GDP_PCAP_CD,NY_GDP_MKTP_KD_ZG,200343,200144,200345,200151,SP_RUR_TOTL_ZS,200101
EGY,71.0,19.0,332927833278.0,3525.0,4.3,31777.0,16619.0,41190.0,4861.0,57.0,94447.0
ERI,65.0,33.0,,,,1420.0,617.0,1189.0,150.0,,3377.0
ESH,,,,,,153.0,96.0,276.0,14.0,,539.0
ESP,83.0,3.0,1232076017362.0,26505.0,3.0,6886.0,4525.0,26405.0,8819.0,20.0,46634.0
EST,78.0,2.0,23996451498.0,18237.0,2.6,212.0,131.0,722.0,251.0,31.0,1317.0
ETH,65.0,42.0,74296618481.0,717.0,9.4,43224.0,22347.0,34434.0,3598.0,80.0,103603.0
FIN,81.0,2.0,240607907010.0,43784.0,2.7,898.0,643.0,2813.0,1143.0,15.0,5498.0
FJI,67.0,21.0,4930204230.0,5651.0,2.5,259.0,147.0,421.0,45.0,45.0,872.0
FLK,,,,,,,,1.0,1.0,,3.0
FRA,83.0,3.0,2471285607082.0,37037.0,1.1,11799.0,7542.0,32856.0,12471.0,20.0,64668.0
FRO,82.0,,2689157271.0,55823.0,,10.0,7.0,24.0,8.0,58.0,48.0
FSM,67.0,27.0,332265200.0,3015.0,0.9,36.0,24.0,47.0,4.0,77.0,110.0
GAB,65.0,35.0,14023890620.0,6984.0,2.1,735.0,366.0,835.0,72.0,11.0,2008.0
GBR,81.0,4.0,2694283209613.0,41064.0,1.9,11662.0,8015.0,34583.0,12039.0,17.0,66298.0
GEO,73.0,9.0,15141758567.0,4062.0,2.9,773.0,502.0,2158.0,582.0,42.0,4015.0
GHA,63.0,37.0,55009730600.0,1931.0,3.4,10830.0,5593.0,11197.0,863.0,45.0,28482.0
GIB,,,,,,7.0,5.0,16.0,6.0,,34.0
GIN,60.0,68.0,8603884845.0,733.0,10.8,5241.0,2493.0,3665.0,339.0,65.0,11738.0
GLP,,,,,,79.0,52.0,200.0,68.0,,400.0
