ref_area,sex,classif1,time,obs_value
AGO,SEX_T,AGE_YTHADULT_YGE25,2018.0,26.61534538
AGO,SEX_M,AGE_YTHADULT_YGE15,2018.0,27.70290375
AGO,SEX_M,AGE_YTHADULT_Y15-24,2018.0,36.69747261
AGO,SEX_M,AGE_YTHADULT_YGE25,2018.0,25.05577842
AGO,SEX_F,AGE_YTHADULT_YGE15,2018.0,29.41477444
AGO,SEX_F,AGE_YTHADULT_Y15-24,2018.0,33.02194871
AGO,SEX_F,AGE_YTHADULT_YGE25,2018.0,28.21743789
AGO,SEX_T,AGE_YTHADULT_YGE15,2019.0,28.34001032
AGO,SEX_T,AGE_YTHADULT_Y15-24,2019.0,34.49900579
AGO,SEX_T,AGE_YTHADULT_YGE25,2019.0,26.40188001
AGO,SEX_M,AGE_YTHADULT_YGE15,2019.0,27.50600137
AGO,SEX_M,AGE_YTHADULT_Y15-24,2019.0,36.47141838
AGO,SEX_M,AGE_YTHADULT_YGE25,2019.0,24.86078034
AGO,SEX_F,AGE_YTHADULT_YGE15,2019.0,29.16655702
AGO,SEX_F,AGE_YTHADULT_Y15-24,2019.0,32.72324939
AGO,SEX_F,AGE_YTHADULT_YGE25,2019.0,27.97598452
ALB,SEX_T,AGE_YTHADULT_YGE15,2015.0,0.11128177199999999
ALB,SEX_T,AGE_YTHADULT_Y15-24,2015.0,0.241160972
ALB,SEX_T,AGE_YTHADULT_YGE25,2015.0,0.09879202
ALB,SEX_M,AGE_YTHADULT_YGE15,2015.0,0.065018055
ALB,SEX_M,AGE_YTHADULT_Y15-24,2015.0,0.109923862
ALB,SEX_M,AGE_YTHADULT_YGE25,2015.0,0.06010699
ALB,SEX_F,AGE_YTHADULT_YGE15,2015.0,0.176457118
ALB,SEX_F,AGE_YTHADULT_Y15-24,2015.0,0.492748234
ALB,SEX_F,AGE_YTHADULT_YGE25,2015.0,0.151754985
ALB,SEX_T,AGE_YTHADULT_YGE15,2016.0,0.09697763599999999
ALB,SEX_T,AGE_YTHADULT_Y15-24,2016.0,0.22460315100000003
ALB,SEX_T,AGE_YTHADULT_YGE25,2016.0,0.08448371800000001
ALB,SEX_M,AGE_YTHADULT_YGE15,2016.0,0.057314490999999995
ALB,SEX_M,AGE_YTHADULT_Y15-24,2016.0,0.09356196900000001
ALB,SEX_M,AGE_YTHADULT_YGE25,2016.0,0.053464115
ALB,SEX_F,AGE_YTHADULT_YGE15,2016.0,0.15228656699999998
ALB,SEX_F,AGE_YTHADULT_Y15-24,2016.0,0.44504749
ALB,SEX_F,AGE_YTHADULT_YGE25,2016.0,0.12720257599999998
ALB,SEX_T,AGE_YTHADULT_YGE15,2017.0,0.082191396
ALB,SEX_T,AGE_YTHADULT_Y15-24,2017.0,0.200739983
ALB,SEX_T,AGE_YTHADULT_YGE25,2017.0,0.070493202
ALB,SEX_M,AGE_YTHADULT_YGE15,2017.0,0.048849984000000006
ALB,SEX_M,AGE_YTHADULT_Y15-24,2017.0,0.078489085
ALB,SEX_M,AGE_YTHADULT_YGE25,2017.0,0.045829285
ALB,SEX_F,AGE_YTHADULT_YGE15,2017.0,0.12823351
ALB,SEX_F,AGE_YTHADULT_Y15-24,2017.0,0.38795127100000004
ALB,SEX_F,AGE_YTHADULT_YGE25,2017.0,0.10425578
ALB,SEX_T,AGE_YTHADULT_YGE15,2018.0,0.071000662
ALB,SEX_T,AGE_YTHADULT_Y15-24,2018.0,0.175146945
ALB,SEX_T,AGE_YTHADULT_YGE25,2018.0,0.061080042
ALB,SEX_M,AGE_YTHADULT_YGE15,2018.0,0.04302543
ALB,SEX_M,AGE_YTHADULT_Y15-24,2018.0,0.067280395
ALB,SEX_M,AGE_YTHADULT_YGE25,2018.0,0.040451425
ALB,SEX_F,AGE_YTHADULT_YGE15,2018.0,0.10984934699999999
ALB,SEX_F,AGE_YTHADULT_Y15-24,2018.0,0.3389915
ALB,SEX_F,AGE_YTHADULT_YGE25,2018.0,0.089321204
ALB,SEX_T,AGE_YTHADULT_YGE15,2019.0,0.06046334
ALB,SEX_T,AGE_YTHADULT_Y15-24,2019.0,0.15062710099999999
ALB,SEX_T,AGE_YTHADULT_YGE25,2019.0,0.052295805
ALB,SEX_M,AGE_YTHADULT_YGE15,2019.0,0.036513615
ALB,SEX_M,AGE_YTHADULT_Y15-24,2019.0,0.059216648
ALB,SEX_M,AGE_YTHADULT_YGE25,2019.0,0.034502029
ALB,SEX_F,AGE_YTHADULT_YGE15,2019.0,0.093783163
ALB,SEX_F,AGE_YTHADULT_Y15-24,2019.0,0.290999792
ALB,SEX_F,AGE_YTHADULT_YGE25,2019.0,0.076830303
ARE,SEX_T,AGE_YTHADULT_YGE15,2015.0,0.0
ARE,SEX_T,AGE_YTHADULT_Y15-24,2015.0,0.0
ARE,SEX_T,AGE_YTHADULT_YGE25,2015.0,0.0
ARE,SEX_M,AGE_YTHADULT_YGE15,2015.0,0.0
ARE,SEX_M,AGE_YTHADULT_Y15-24,2015.0,0.0
ARE,SEX_M,AGE_YTHADULT_YGE25,2015.0,0.0
ARE,SEX_F,AGE_YTHADULT_YGE15,2015.0,0.0
ARE,SEX_F,AGE_YTHADULT_Y15-24,2015.0,0.0
ARE,SEX_F,AGE_YTHADULT_YGE25,2015.0,0.0
ARE,SEX_T,AGE_YTHADULT_YGE15,2016.0,0.0
ARE,SEX_T,AGE_YTHADULT_Y15-24,2016.0,0.0
ARE,SEX_T,AGE_YTHADULT_YGE25,2016.0,0.0
ARE,SEX_M,AGE_YTHADULT_YGE15,2016.0,0.0
ARE,SEX_M,AGE_YTHADULT_Y15-24,2016.0,0.0
ARE,SEX_M,AGE_YTHADULT_YGE25,2016.0,0.0
ARE,SEX_F,AGE_YTHADULT_YGE15,2016.0,0.0
ARE,SEX_F,AGE_YTHADULT_Y15-24,2016.0,0.0
ARE,SEX_F,AGE_YTHADULT_YGE25,2016.0,0.0
ARE,SEX_T,AGE_YTHADULT_YGE15,2017.0,0.0
ARE,SEX_T,AGE_YTHADULT_Y15-24,2017.0,0.0
ARE,SEX_T,AGE_YTHADULT_YGE25,2017.0,0.0
ARE,SEX_M,AGE_YTHADULT_YGE15,2017.0,0.0
ARE,SEX_M,AGE_YTHADULT_Y15-24,2017.0,0.0
ARE,SEX_M,AGE_YTHADULT_YGE25,2017.0,0.0
ARE,SEX_F,AGE_YTHADULT_YGE15,2017.0,0.0
ARE,SEX_F,AGE_YTHADULT_Y15-24,2017.0,0.0
ARE,SEX_F,AGE_YTHADULT_YGE25,2017.0,0.0
ARE,SEX_T,AGE_YTHADULT_YGE15,2018.0,0.0
ARE,SEX_T,AGE_YTHADULT_Y15-24,2018.0,0.0
ARE,SEX_T,AGE_YTHADULT_YGE25,2018.0,0.0
ARE,SEX_M,AGE_YTHADULT_YGE15,2018.0,0.0
ARE,SEX_M,AGE_YTHADULT_Y15-24,2018.0,0.0
ARE,SEX_M,AGE_YTHADULT_YGE25,2018.0,0.0
ARE,SEX_F,AGE_YTHADULT_YGE15,2018.0,0.0
ARE,SEX_F,AGE_YTHADULT_Y15-24,2018.0,0.0
ARE,SEX_F,AGE_YTHADULT_YGE25,2018.0,0.0
