ref_area,sex,classif1,time,obs_value
ARG,SEX_M,AGE_YTHADULT_YGE15,2017,7.513
ARG,SEX_M,AGE_YTHADULT_Y15-64,2017,7.7107
ARG,SEX_M,AGE_YTHADULT_Y15-24,2017,19.8635
ARG,SEX_M,AGE_YTHADULT_YGE25,2017,5.2834
ARG,SEX_F,AGE_YTHADULT_YGE15,2017,9.4463
ARG,SEX_F,AGE_YTHADULT_Y15-64,2017,9.6061
ARG,SEX_F,AGE_YTHADULT_Y15-24,2017,26.8972
ARG,SEX_F,AGE_YTHADULT_YGE25,2017,6.8075
ARG,SEX_T,AGE_YTHADULT_YGE15,2018,9.2205
ARG,SEX_T,AGE_YTHADULT_Y15-64,2018,9.3666
ARG,SEX_T,AGE_YTHADULT_Y15-24,2018,23.7273
ARG,SEX_T,AGE_YTHADULT_YGE25,2018,6.8629999999999995
ARG,SEX_M,AGE_YTHADULT_YGE15,2018,8.2029
ARG,SEX_M,AGE_YTHADULT_Y15-64,2018,8.2793
ARG,SEX_M,AGE_YTHADULT_Y15-24,2018,20.8492
ARG,SEX_M,AGE_YTHADULT_YGE25,2018,6.0369
ARG,SEX_F,AGE_YTHADULT_YGE15,2018,10.5083
ARG,SEX_F,AGE_YTHADULT_Y15-64,2018,10.722999999999999
ARG,SEX_F,AGE_YTHADULT_Y15-24,2018,27.7736
ARG,SEX_F,AGE_YTHADULT_YGE25,2018,7.8911
ARG,SEX_T,AGE_YTHADULT_YGE15,2019,9.8427
ARG,SEX_T,AGE_YTHADULT_Y15-64,2019,10.0923
ARG,SEX_T,AGE_YTHADULT_Y15-24,2019,25.8596
ARG,SEX_T,AGE_YTHADULT_YGE25,2019,7.4114
ARG,SEX_M,AGE_YTHADULT_YGE15,2019,9.1778
ARG,SEX_M,AGE_YTHADULT_Y15-64,2019,9.3822
ARG,SEX_M,AGE_YTHADULT_Y15-24,2019,23.8673
ARG,SEX_M,AGE_YTHADULT_YGE25,2019,6.7917
ARG,SEX_F,AGE_YTHADULT_YGE15,2019,10.6905
ARG,SEX_F,AGE_YTHADULT_Y15-64,2019,10.9871
ARG,SEX_F,AGE_YTHADULT_Y15-24,2019,28.7767
ARG,SEX_F,AGE_YTHADULT_YGE25,2019,8.1853
ARM,SEX_T,AGE_YTHADULT_YGE15,2015,18.261
ARM,SEX_T,AGE_YTHADULT_Y15-64,2015,18.8186
ARM,SEX_T,AGE_YTHADULT_Y15-24,2015,31.954
ARM,SEX_T,AGE_YTHADULT_YGE25,2015,16.3639
ARM,SEX_M,AGE_YTHADULT_YGE15,2015,17.3636
ARM,SEX_M,AGE_YTHADULT_Y15-64,2015,17.8246
ARM,SEX_M,AGE_YTHADULT_Y15-24,2015,27.9877
ARM,SEX_M,AGE_YTHADULT_YGE25,2015,15.8064
ARM,SEX_F,AGE_YTHADULT_YGE15,2015,19.2274
ARM,SEX_F,AGE_YTHADULT_Y15-64,2015,19.8798
ARM,SEX_F,AGE_YTHADULT_Y15-24,2015,36.6989
ARM,SEX_F,AGE_YTHADULT_YGE25,2015,16.9555
ARM,SEX_T,AGE_YTHADULT_YGE15,2016,17.6172
ARM,SEX_T,AGE_YTHADULT_Y15-64,2016,18.1652
ARM,SEX_T,AGE_YTHADULT_Y15-24,2016,36.323
ARM,SEX_T,AGE_YTHADULT_YGE25,2016,15.4968
ARM,SEX_M,AGE_YTHADULT_YGE15,2016,17.7346
ARM,SEX_M,AGE_YTHADULT_Y15-64,2016,18.1557
ARM,SEX_M,AGE_YTHADULT_Y15-24,2016,29.5058
ARM,SEX_M,AGE_YTHADULT_YGE25,2016,16.2478
ARM,SEX_F,AGE_YTHADULT_YGE15,2016,17.487000000000002
ARM,SEX_F,AGE_YTHADULT_Y15-64,2016,18.1757
ARM,SEX_F,AGE_YTHADULT_Y15-24,2016,45.7002
ARM,SEX_F,AGE_YTHADULT_YGE25,2016,14.6843
ARM,SEX_T,AGE_YTHADULT_YGE15,2017,17.7045
ARM,SEX_T,AGE_YTHADULT_Y15-64,2017,18.2708
ARM,SEX_T,AGE_YTHADULT_Y15-24,2017,38.1784
ARM,SEX_T,AGE_YTHADULT_YGE25,2017,15.4683
ARM,SEX_M,AGE_YTHADULT_YGE15,2017,17.9112
ARM,SEX_M,AGE_YTHADULT_Y15-64,2017,18.3054
ARM,SEX_M,AGE_YTHADULT_Y15-24,2017,32.8099
ARM,SEX_M,AGE_YTHADULT_YGE25,2017,16.187
ARM,SEX_F,AGE_YTHADULT_YGE15,2017,17.4761
ARM,SEX_F,AGE_YTHADULT_Y15-64,2017,18.2328
ARM,SEX_F,AGE_YTHADULT_Y15-24,2017,44.8197
ARM,SEX_F,AGE_YTHADULT_YGE25,2017,14.6838
ARM,SEX_T,AGE_YTHADULT_YGE15,2018,18.9659
ARM,SEX_T,AGE_YTHADULT_Y15-64,2018,19.3374
ARM,SEX_T,AGE_YTHADULT_Y15-24,2018,33.5567
ARM,SEX_T,AGE_YTHADULT_YGE25,2018,17.2562
ARM,SEX_M,AGE_YTHADULT_YGE15,2018,17.847
ARM,SEX_M,AGE_YTHADULT_Y15-64,2018,18.0102
ARM,SEX_M,AGE_YTHADULT_Y15-24,2018,29.0539
ARM,SEX_M,AGE_YTHADULT_YGE25,2018,16.5802
ARM,SEX_F,AGE_YTHADULT_YGE15,2018,20.4275
ARM,SEX_F,AGE_YTHADULT_Y15-64,2018,21.070999999999998
ARM,SEX_F,AGE_YTHADULT_Y15-24,2018,39.0255
ARM,SEX_F,AGE_YTHADULT_YGE25,2018,18.147000000000002
AUS,SEX_T,AGE_YTHADULT_YGE15,2015,6.0542
AUS,SEX_T,AGE_YTHADULT_Y15-64,2015,6.2178
AUS,SEX_T,AGE_YTHADULT_Y15-24,2015,13.1102
AUS,SEX_T,AGE_YTHADULT_YGE25,2015,4.6248
AUS,SEX_M,AGE_YTHADULT_YGE15,2015,6.0385
AUS,SEX_M,AGE_YTHADULT_Y15-64,2015,6.226
AUS,SEX_M,AGE_YTHADULT_Y15-24,2015,14.2406
AUS,SEX_M,AGE_YTHADULT_YGE25,2015,4.4642
AUS,SEX_F,AGE_YTHADULT_YGE15,2015,6.0724
AUS,SEX_F,AGE_YTHADULT_Y15-64,2015,6.2084
AUS,SEX_F,AGE_YTHADULT_Y15-24,2015,11.9149
AUS,SEX_F,AGE_YTHADULT_YGE25,2015,4.8152
AUS,SEX_T,AGE_YTHADULT_YGE15,2016,5.7099
AUS,SEX_T,AGE_YTHADULT_Y15-64,2016,5.8676
AUS,SEX_T,AGE_YTHADULT_Y15-24,2016,12.6404
AUS,SEX_T,AGE_YTHADULT_YGE25,2016,4.3281
AUS,SEX_M,AGE_YTHADULT_YGE15,2016,5.6502
AUS,SEX_M,AGE_YTHADULT_Y15-64,2016,5.821000000000001
AUS,SEX_M,AGE_YTHADULT_Y15-24,2016,13.8186
AUS,SEX_M,AGE_YTHADULT_YGE25,2016,4.0995
AUS,SEX_F,AGE_YTHADULT_YGE15,2016,5.7784
AUS,SEX_F,AGE_YTHADULT_Y15-64,2016,5.9204
AUS,SEX_F,AGE_YTHADULT_Y15-24,2016,11.3992
AUS,SEX_F,AGE_YTHADULT_YGE25,2016,4.5952
AUS,SEX_T,AGE_YTHADULT_YGE15,2017,5.5911
AUS,SEX_T,AGE_YTHADULT_Y15-64,2017,5.7566
AUS,SEX_T,AGE_YTHADULT_Y15-24,2017,12.5904
AUS,SEX_T,AGE_YTHADULT_YGE25,2017,4.2128
AUS,SEX_M,AGE_YTHADULT_YGE15,2017,5.5244
AUS,SEX_M,AGE_YTHADULT_Y15-64,2017,5.7035
AUS,SEX_M,AGE_YTHADULT_Y15-24,2017,13.6487
AUS,SEX_M,AGE_YTHADULT_YGE25,2017,3.9893
AUS,SEX_F,AGE_YTHADULT_YGE15,2017,5.6671
AUS,SEX_F,AGE_YTHADULT_Y15-64,2017,5.8164
AUS,SEX_F,AGE_YTHADULT_Y15-24,2017,11.4696
AUS,SEX_F,AGE_YTHADULT_YGE25,2017,4.4709
AUS,SEX_T,AGE_YTHADULT_YGE15,2018,5.2983
AUS,SEX_T,AGE_YTHADULT_Y15-64,2018,5.4573
AUS,SEX_T,AGE_YTHADULT_Y15-24,2018,11.7822
AUS,SEX_T,AGE_YTHADULT_YGE25,2018,4.0221
AUS,SEX_M,AGE_YTHADULT_YGE15,2018,5.2807
AUS,SEX_M,AGE_YTHADULT_Y15-64,2018,5.4534
AUS,SEX_M,AGE_YTHADULT_Y15-24,2018,12.8265
AUS,SEX_M,AGE_YTHADULT_YGE25,2018,3.8526
AUS,SEX_F,AGE_YTHADULT_YGE15,2018,5.3182
AUS,SEX_F,AGE_YTHADULT_Y15-64,2018,5.4616
AUS,SEX_F,AGE_YTHADULT_Y15-24,2018,10.6796
AUS,SEX_F,AGE_YTHADULT_YGE25,2018,4.2164
AUS,SEX_T,AGE_YTHADULT_YGE15,2019,5.1589
AUS,SEX_T,AGE_YTHADULT_Y15-64,2019,5.3104
AUS,SEX_T,AGE_YTHADULT_Y15-24,2019,11.7429
AUS,SEX_T,AGE_YTHADULT_YGE25,2019,3.8822
AUS,SEX_M,AGE_YTHADULT_YGE15,2019,5.2058
AUS,SEX_M,AGE_YTHADULT_Y15-64,2019,5.3617
AUS,SEX_M,AGE_YTHADULT_Y15-24,2019,12.8161
