ref_area,indicator,source,sex,classif1,time,obs_value,obs_status,note_classif,note_indicator,note_source
ARM,SDG_0852_SEX_AGE_RT,BA:867,SEX_T,AGE_YTHADULT_Y15-64,2016,18.1652,,,,R1:3513_T3:240
ARM,SDG_0852_SEX_AGE_RT,BA:867,SEX_T,AGE_YTHADULT_Y15-24,2016,36.323,,,,R1:3513_T3:240
ARM,SDG_0852_SEX_AGE_RT,BA:867,SEX_T,AGE_YTHADULT_YGE25,2016,15.4968,,,,R1:3513_T3:240
ARM,SDG_0852_SEX_AGE_RT,BA:867,SEX_T,AGE_YTHADULT_YGE15,2017,17.7045,,,,R1:3513_T3:240
ARM,SDG_0852_SEX_AGE_RT,BA:867,SEX_T,AGE_YTHADULT_Y15-64,2017,18.2708,,,,R1:3513_T3:240
ARM,SDG_0852_SEX_AGE_RT,BA:867,SEX_T,AGE_YTHADULT_Y15-24,2017,38.1784,,,,R1:3513_T3:240
ARM,SDG_0852_SEX_AGE_RT,BA:867,SEX_T,AGE_YTHADULT_YGE25,2017,15.4683,,,,R1:3513_T3:240
ARM,SDG_0852_SEX_AGE_RT,BA:867,SEX_T,AGE_YTHADULT_YGE15,2018,18.9659,,,,R1:3513_T3:240
ARM,SDG_0852_SEX_AGE_RT,BA:867,SEX_T,AGE_YTHADULT_Y15-64,2018,19.3374,,,,R1:3513_T3:240
ARM,SDG_0852_SEX_AGE_RT,BA:867,SEX_T,AGE_YTHADULT_Y15-24,2018,33.5567,,,,R1:3513_T3:240
ARM,SDG_0852_SEX_AGE_RT,BA:867,SEX_T,AGE_YTHADULT_YGE25,2018,17.2562,,,,R1:3513_T3:240
AUS,SDG_0852_SEX_AGE_RT,BA:518,SEX_T,AGE_YTHADULT_YGE15,2015,6.0542,,,,
AUS,SDG_0852_SEX_AGE_RT,BA:518,SEX_T,AGE_YTHADULT_Y15-64,2015,6.2178,,,,
AUS,SDG_0852_SEX_AGE_RT,BA:518,SEX_T,AGE_YTHADULT_Y15-24,2015,13.1102,,,,
AUS,SDG_0852_SEX_AGE_RT,BA:518,SEX_T,AGE_YTHADULT_YGE25,2015,4.6248,,,,
AUS,SDG_0852_SEX_AGE_RT,BA:518,SEX_T,AGE_YTHADULT_YGE15,2016,5.7099,,,,
AUS,SDG_0852_SEX_AGE_RT,BA:518,SEX_T,AGE_YTHADULT_Y15-64,2016,5.8676,,,,
AUS,SDG_0852_SEX_AGE_RT,BA:518,SEX_T,AGE_YTHADULT_Y15-24,2016,12.6404,,,,
