ref_area,indicator,source,sex,classif1,time,obs_value,obs_status,note_classif,note_indicator,note_source
BLR,SDG_0852_SEX_AGE_RT,BA:13362,SEX_T,AGE_YTHADULT_Y15-64,2018,4.77,,,,S14:4077_S5:3210_T3:104
BLR,SDG_0852_SEX_AGE_RT,BA:13362,SEX_T,AGE_YTHADULT_Y15-64,2019,4.13,,,,S14:4077_S5:3210_T3:104
BLZ,SDG_0852_SEX_AGE_RT,BA:934,SEX_T,AGE_YTHADULT_Y15-64,2015,7.7024,,,,R1:3513
BLZ,SDG_0852_SEX_AGE_RT,BA:934,SEX_T,AGE_YTHADULT_Y15-64,2016,7.1854,,,,R1:3513
BLZ,SDG_0852_SEX_AGE_RT,BA:934,SEX_T,AGE_YTHADULT_Y15-64,2017,6.7931,,,,R1:3513
BOL,SDG_0852_SEX_AGE_RT,BA:74,SEX_T,AGE_YTHADULT_Y15-64,2016,3.7137,,,,R1:3513
BOL,SDG_0852_SEX_AGE_RT,BA:74,SEX_T,AGE_YTHADULT_Y15-64,2017,3.9251,,,,R1:3513
BOL,SDG_0852_SEX_AGE_RT,BA:74,SEX_T,AGE_YTHADULT_Y15-64,2018,3.8059,,,,R1:3513
BOL,SDG_0852_SEX_AGE_RT,BB:73,SEX_T,AGE_YTHADULT_Y15-64,2015,3.316,,,,R1:3513
BOL,SDG_0852_SEX_AGE_RT,BB:73,SEX_T,AGE_YTHADULT_Y15-64,2019,4.0748,,,,R1:3513
BRA,SDG_0852_SEX_AGE_RT,BX:6355,SEX_T,AGE_YTHADULT_Y15-64,2015,8.6215,,,,R1:3513
BRA,SDG_0852_SEX_AGE_RT,BX:6355,SEX_T,AGE_YTHADULT_Y15-64,2016,11.8631,,,,R1:3513
BRA,SDG_0852_SEX_AGE_RT,BX:6355,SEX_T,AGE_YTHADULT_Y15-64,2017,13.1174,,,,R1:3513
BRA,SDG_0852_SEX_AGE_RT,BX:6355,SEX_T,AGE_YTHADULT_Y15-64,2018,12.6333,,,,R1:3513
BRA,SDG_0852_SEX_AGE_RT,BX:6355,SEX_T,AGE_YTHADULT_Y15-64,2019,12.2362,,,,R1:3513
BRB,SDG_0852_SEX_AGE_RT,BA:338,SEX_T,AGE_YTHADULT_Y15-64,2015,11.67,,,,
BRB,SDG_0852_SEX_AGE_RT,BA:338,SEX_T,AGE_YTHADULT_Y15-64,2016,10.02,,,,
BRN,SDG_0852_SEX_AGE_RT,BA:8230,SEX_T,AGE_YTHADULT_Y15-64,2017,9.4013,,,,R1:3513_S14:4077
BRN,SDG_0852_SEX_AGE_RT,BA:8230,SEX_T,AGE_YTHADULT_Y15-64,2018,8.813,,,,R1:3513_S14:4077
BRN,SDG_0852_SEX_AGE_RT,BA:8230,SEX_T,AGE_YTHADULT_Y15-64,2019,7.0226,,,,R1:3513_S14:4077
BTN,SDG_0852_SEX_AGE_RT,BA:625,SEX_T,AGE_YTHADULT_Y15-64,2015,2.58,,,,S3:22_S4:30
CAN,SDG_0852_SEX_AGE_RT,BA:147,SEX_T,AGE_YTHADULT_Y15-64,2015,6.9993,,,,R1:3513
CAN,SDG_0852_SEX_AGE_RT,BA:147,SEX_T,AGE_YTHADULT_Y15-64,2016,7.0989,,,,R1:3513
CAN,SDG_0852_SEX_AGE_RT,BA:147,SEX_T,AGE_YTHADULT_Y15-64,2017,6.3939,,,,R1:3513
CAN,SDG_0852_SEX_AGE_RT,BA:147,SEX_T,AGE_YTHADULT_Y15-64,2018,5.903,,,,R1:3513
CAN,SDG_0852_SEX_AGE_RT,BA:147,SEX_T,AGE_YTHADULT_Y15-64,2019,5.7444,,,,R1:3513
CHE,SDG_0852_SEX_AGE_RT,BA:2253,SEX_T,AGE_YTHADULT_Y15-64,2015,4.92,,,,R1:2384
CHE,SDG_0852_SEX_AGE_RT,BA:2253,SEX_T,AGE_YTHADULT_Y15-64,2016,5.0861,,,,R1:2384
CHE,SDG_0852_SEX_AGE_RT,BA:2253,SEX_T,AGE_YTHADULT_Y15-64,2017,4.9633,,,,R1:2384
CHE,SDG_0852_SEX_AGE_RT,BA:2253,SEX_T,AGE_YTHADULT_Y15-64,2018,4.873,,,,R1:2384
CHE,SDG_0852_SEX_AGE_RT,BA:2253,SEX_T,AGE_YTHADULT_Y15-64,2019,4.5224,,,,R1:2384
CHL,SDG_0852_SEX_AGE_RT,BA:460,SEX_T,AGE_YTHADULT_Y15-64,2015,6.7676,,,,R1:3513
CHL,SDG_0852_SEX_AGE_RT,BA:460,SEX_T,AGE_YTHADULT_Y15-64,2016,7.0516,,,,R1:3513
CHL,SDG_0852_SEX_AGE_RT,BA:460,SEX_T,AGE_YTHADULT_Y15-64,2017,7.3041,,,,R1:3513
CHL,SDG_0852_SEX_AGE_RT,BA:460,SEX_T,AGE_YTHADULT_Y15-64,2018,7.6291,,,,R1:3513
CHL,SDG_0852_SEX_AGE_RT,BA:460,SEX_T,AGE_YTHADULT_Y15-64,2019,7.6957,,,,R1:3513
CIV,SDG_0852_SEX_AGE_RT,BA:7345,SEX_T,AGE_YTHADULT_Y15-64,2016,2.6346,,,,R1:3513
CIV,SDG_0852_SEX_AGE_RT,BA:14098,SEX_T,AGE_YTHADULT_Y15-64,2017,3.3429,,,,R1:3513
COL,SDG_0852_SEX_AGE_RT,BA:358,SEX_T,AGE_YTHADULT_Y15-64,2015,8.5372,,,,R1:3513
COL,SDG_0852_SEX_AGE_RT,BA:358,SEX_T,AGE_YTHADULT_Y15-64,2016,8.9558,,,,R1:3513
COL,SDG_0852_SEX_AGE_RT,BA:358,SEX_T,AGE_YTHADULT_Y15-64,2017,9.1648,,,,R1:3513
COL,SDG_0852_SEX_AGE_RT,BA:358,SEX_T,AGE_YTHADULT_Y15-64,2018,9.3937,,,,R1:3513
COL,SDG_0852_SEX_AGE_RT,BA:358,SEX_T,AGE_YTHADULT_Y15-64,2019,10.2575,,,,R1:3513
CPV,SDG_0852_SEX_AGE_RT,BA:7395,SEX_T,AGE_YTHADULT_Y15-64,2015,31.6714,,,,R1:3513_T2:85
CPV,SDG_0852_SEX_AGE_RT,BA:7395,SEX_T,AGE_YTHADULT_Y15-64,2017,12.42,,,,S14:3359
CPV,SDG_0852_SEX_AGE_RT,BA:7395,SEX_T,AGE_YTHADULT_Y15-64,2018,12.35,,,,S14:3359
CPV,SDG_0852_SEX_AGE_RT,BA:7395,SEX_T,AGE_YTHADULT_Y15-64,2019,11.41,,,,S14:3359
CRI,SDG_0852_SEX_AGE_RT,BA:12883,SEX_T,AGE_YTHADULT_Y15-64,2015,9.2114,,,,R1:3513
CRI,SDG_0852_SEX_AGE_RT,BA:12883,SEX_T,AGE_YTHADULT_Y15-64,2016,8.7534,,,,R1:3513
CRI,SDG_0852_SEX_AGE_RT,BA:12883,SEX_T,AGE_YTHADULT_Y15-64,2017,8.3114,,,,R1:3513
CRI,SDG_0852_SEX_AGE_RT,BA:12883,SEX_T,AGE_YTHADULT_Y15-64,2018,9.87,,,,R1:3513
CRI,SDG_0852_SEX_AGE_RT,BA:12883,SEX_T,AGE_YTHADULT_Y15-64,2019,11.7424,,,,R1:3513
CUW,SDG_0852_SEX_AGE_RT,BA:12900,SEX_T,AGE_YTHADULT_Y15-64,2015,11.82,,,,S3:20
CUW,SDG_0852_SEX_AGE_RT,BA:12900,SEX_T,AGE_YTHADULT_Y15-64,2018,13.6,,,,S14:3359_S3:11_T3:94
CYP,SDG_0852_SEX_AGE_RT,BA:2259,SEX_T,AGE_YTHADULT_Y15-64,2015,15.1839,,,,R1:2384
CYP,SDG_0852_SEX_AGE_RT,BA:2259,SEX_T,AGE_YTHADULT_Y15-64,2016,13.1948,,,,R1:2384
CYP,SDG_0852_SEX_AGE_RT,BA:2259,SEX_T,AGE_YTHADULT_Y15-64,2017,11.2832,,,,R1:2384
CYP,SDG_0852_SEX_AGE_RT,BA:2259,SEX_T,AGE_YTHADULT_Y15-64,2018,8.5619,,,,R1:2384
CYP,SDG_0852_SEX_AGE_RT,BA:2259,SEX_T,AGE_YTHADULT_Y15-64,2019,7.2541,,,,R1:2384
CZE,SDG_0852_SEX_AGE_RT,BA:2249,SEX_T,AGE_YTHADULT_Y15-64,2015,5.1305,,,,R1:2384
CZE,SDG_0852_SEX_AGE_RT,BA:2249,SEX_T,AGE_YTHADULT_Y15-64,2016,4.0269,,,,R1:2384
CZE,SDG_0852_SEX_AGE_RT,BA:2249,SEX_T,AGE_YTHADULT_Y15-64,2017,2.941,,,,R1:2384
CZE,SDG_0852_SEX_AGE_RT,BA:2249,SEX_T,AGE_YTHADULT_Y15-64,2018,2.2841,,,,R1:2384
CZE,SDG_0852_SEX_AGE_RT,BA:2249,SEX_T,AGE_YTHADULT_Y15-64,2019,2.0605,,,,R1:2384
DEU,SDG_0852_SEX_AGE_RT,BA:2242,SEX_T,AGE_YTHADULT_Y15-64,2015,4.7208,,,,R1:2384
DEU,SDG_0852_SEX_AGE_RT,BA:2242,SEX_T,AGE_YTHADULT_Y15-64,2016,4.2129,,,,R1:2384
DEU,SDG_0852_SEX_AGE_RT,BA:2242,SEX_T,AGE_YTHADULT_Y15-64,2017,3.8295,,,,R1:2384
DEU,SDG_0852_SEX_AGE_RT,BA:2242,SEX_T,AGE_YTHADULT_Y15-64,2018,3.4645,,,,R1:2384
DEU,SDG_0852_SEX_AGE_RT,BA:2242,SEX_T,AGE_YTHADULT_Y15-64,2019,3.2136,,,,R1:2384
DNK,SDG_0852_SEX_AGE_RT,BA:2487,SEX_T,AGE_YTHADULT_Y15-64,2015,6.4513,,,,R1:2384
DNK,SDG_0852_SEX_AGE_RT,BA:2487,SEX_T,AGE_YTHADULT_Y15-64,2016,6.1523,B,,I11:264,R1:2384
DNK,SDG_0852_SEX_AGE_RT,BA:2487,SEX_T,AGE_YTHADULT_Y15-64,2017,5.9885,B,,I11:264,R1:2384
DNK,SDG_0852_SEX_AGE_RT,BA:2487,SEX_T,AGE_YTHADULT_Y15-64,2018,5.2652,,,,R1:2384
DNK,SDG_0852_SEX_AGE_RT,BA:2487,SEX_T,AGE_YTHADULT_Y15-64,2019,5.1341,,,,R1:2384
DOM,SDG_0852_SEX_AGE_RT,BA:13413,SEX_T,AGE_YTHADULT_Y15-64,2015,7.9468,,,,R1:3513
DOM,SDG_0852_SEX_AGE_RT,BA:13413,SEX_T,AGE_YTHADULT_Y15-64,2016,7.6059,,,,R1:3513
DOM,SDG_0852_SEX_AGE_RT,BA:13413,SEX_T,AGE_YTHADULT_Y15-64,2017,6.1171,,,,R1:3513
DOM,SDG_0852_SEX_AGE_RT,BA:13413,SEX_T,AGE_YTHADULT_Y15-64,2018,6.1567,,,,R1:3513
DOM,SDG_0852_SEX_AGE_RT,BA:13413,SEX_T,AGE_YTHADULT_Y15-64,2019,6.7447,,,,R1:3513
EGY,SDG_0852_SEX_AGE_RT,BA:582,SEX_T,AGE_YTHADULT_Y15-64,2015,13.2265,,,,R1:3513
EGY,SDG_0852_SEX_AGE_RT,BA:582,SEX_T,AGE_YTHADULT_Y15-64,2016,12.6108,,,,R1:3513
EGY,SDG_0852_SEX_AGE_RT,BA:582,SEX_T,AGE_YTHADULT_Y15-64,2017,11.9257,,,,R1:3513
