ref_area,indicator,source,sex,classif1,time,obs_value
ARE,SDG_0111_SEX_AGE_RT,XA:1978,SEX_T,AGE_YTHADULT_YGE15,2018,0
ARE,SDG_0111_SEX_AGE_RT,XA:1978,SEX_T,AGE_YTHADULT_Y15-24,2018,0
ARE,SDG_0111_SEX_AGE_RT,XA:1978,SEX_T,AGE_YTHADULT_YGE25,2018,0
ARE,SDG_0111_SEX_AGE_RT,XA:1978,SEX_T,AGE_YTHADULT_YGE15,2019,0
ARE,SDG_0111_SEX_AGE_RT,XA:1978,SEX_T,AGE_YTHADULT_Y15-24,2019,0
ARE,SDG_0111_SEX_AGE_RT,XA:1978,SEX_T,AGE_YTHADULT_YGE25,2019,0
ARG,SDG_0111_SEX_AGE_RT,XA:1868,SEX_T,AGE_YTHADULT_YGE15,2015,0.167648583
ARG,SDG_0111_SEX_AGE_RT,XA:1868,SEX_T,AGE_YTHADULT_Y15-24,2015,0.114817871
ARG,SDG_0111_SEX_AGE_RT,XA:1868,SEX_T,AGE_YTHADULT_YGE25,2015,0.174903912
ARG,SDG_0111_SEX_AGE_RT,XA:1868,SEX_T,AGE_YTHADULT_YGE15,2016,0.182762032
ARG,SDG_0111_SEX_AGE_RT,XA:1868,SEX_T,AGE_YTHADULT_Y15-24,2016,0.122514101
ARG,SDG_0111_SEX_AGE_RT,XA:1868,SEX_T,AGE_YTHADULT_YGE25,2016,0.190776988
ARG,SDG_0111_SEX_AGE_RT,XA:1868,SEX_T,AGE_YTHADULT_YGE15,2017,0.130183966
ARG,SDG_0111_SEX_AGE_RT,XA:1868,SEX_T,AGE_YTHADULT_Y15-24,2017,0.08469283
ARG,SDG_0111_SEX_AGE_RT,XA:1868,SEX_T,AGE_YTHADULT_YGE25,2017,0.136005152
ARG,SDG_0111_SEX_AGE_RT,XA:1868,SEX_T,AGE_YTHADULT_YGE15,2018,0.124672942
ARG,SDG_0111_SEX_AGE_RT,XA:1868,SEX_T,AGE_YTHADULT_Y15-24,2018,0.081103938
ARG,SDG_0111_SEX_AGE_RT,XA:1868,SEX_T,AGE_YTHADULT_YGE25,2018,0.130141513
ARG,SDG_0111_SEX_AGE_RT,XA:1868,SEX_T,AGE_YTHADULT_YGE15,2019,0.118849169
ARG,SDG_0111_SEX_AGE_RT,XA:1868,SEX_T,AGE_YTHADULT_Y15-24,2019,0.075486202
ARG,SDG_0111_SEX_AGE_RT,XA:1868,SEX_T,AGE_YTHADULT_YGE25,2019,0.124099814
ARM,SDG_0111_SEX_AGE_RT,XA:1931,SEX_T,AGE_YTHADULT_YGE15,2015,0.557819463
ARM,SDG_0111_SEX_AGE_RT,XA:1931,SEX_T,AGE_YTHADULT_Y15-24,2015,0.741766564
ARM,SDG_0111_SEX_AGE_RT,XA:1931,SEX_T,AGE_YTHADULT_YGE25,2015,0.536032804
ARM,SDG_0111_SEX_AGE_RT,XA:1931,SEX_T,AGE_YTHADULT_YGE15,2016,0.445678218
ARM,SDG_0111_SEX_AGE_RT,XA:1931,SEX_T,AGE_YTHADULT_Y15-24,2016,0.568824502
ARM,SDG_0111_SEX_AGE_RT,XA:1931,SEX_T,AGE_YTHADULT_YGE25,2016,0.434108402
