ref_area,indicator,source,sex,classif1,time,obs_value,note_source
AFG,POP_2POP_SEX_AGE_NB,XA:2198,SEX_T,AGE_5YRBANDS_Y40-44,2016,1407.902,R1:2474
AFG,POP_2POP_SEX_AGE_NB,XA:2198,SEX_T,AGE_5YRBANDS_Y45-49,2016,1124.164,R1:2474
AFG,POP_2POP_SEX_AGE_NB,XA:2198,SEX_T,AGE_5YRBANDS_Y50-54,2016,896.201,R1:2474
AFG,POP_2POP_SEX_AGE_NB,XA:2198,SEX_T,AGE_5YRBANDS_Y55-59,2016,699.359,R1:2474
AFG,POP_2POP_SEX_AGE_NB,XA:2198,SEX_T,AGE_5YRBANDS_Y60-64,2016,531.08,R1:2474
AFG,POP_2POP_SEX_AGE_NB,XA:2198,SEX_T,AGE_5YRBANDS_YGE65,2016,891.591,R1:2474
AFG,POP_2POP_SEX_AGE_NB,XA:2198,SEX_T,AGE_10YRBANDS_TOTAL,2016,35383.028,R1:2474
AFG,POP_2POP_SEX_AGE_NB,XA:2198,SEX_T,AGE_10YRBANDS_YLT15,2016,15664.795,R1:2474
AFG,POP_2POP_SEX_AGE_NB,XA:2198,SEX_T,AGE_10YRBANDS_Y15-24,2016,7559.966,R1:2474
AFG,POP_2POP_SEX_AGE_NB,XA:2198,SEX_T,AGE_10YRBANDS_Y25-34,2016,4831.439,R1:2474
AFG,POP_2POP_SEX_AGE_NB,XA:2198,SEX_T,AGE_10YRBANDS_Y35-44,2016,3184.433,R1:2474
AFG,POP_2POP_SEX_AGE_NB,XA:2198,SEX_T,AGE_10YRBANDS_Y45-54,2016,2020.365,R1:2474
AFG,POP_2POP_SEX_AGE_NB,XA:2198,SEX_T,AGE_10YRBANDS_Y55-64,2016,1230.439,R1:2474
AFG,POP_2POP_SEX_AGE_NB,XA:2198,SEX_T,AGE_10YRBANDS_YGE65,2016,891.591,R1:2474
AFG,POP_2POP_SEX_AGE_NB,XA:2198,SEX_T,AGE_AGGREGATE_TOTAL,2016,35383.028,R1:2474
AFG,POP_2POP_SEX_AGE_NB,XA:2198,SEX_T,AGE_AGGREGATE_YLT15,2016,15664.795,R1:2474
AFG,POP_2POP_SEX_AGE_NB,XA:2198,SEX_T,AGE_AGGREGATE_Y15-24,2016,7559.966,R1:2474
AFG,POP_2POP_SEX_AGE_NB,XA:2198,SEX_T,AGE_AGGREGATE_Y25-54,2016,10036.237,R1:2474
AFG,POP_2POP_SEX_AGE_NB,XA:2198,SEX_T,AGE_AGGREGATE_Y55-64,2016,1230.439,R1:2474
AFG,POP_2POP_SEX_AGE_NB,XA:2198,SEX_T,AGE_AGGREGATE_YGE65,2016,891.591,R1:2474
AFG,POP_2POP_SEX_AGE_NB,XA:2198,SEX_T,AGE_YTHADULT_YGE15,2016,19718.233,R1:2474
AFG,POP_2POP_SEX_AGE_NB,XA:2198,SEX_T,AGE_YTHADULT_Y15-64,2016,18826.642,R1:2474
AFG,POP_2POP_SEX_AGE_NB,XA:2198,SEX_T,AGE_YTHADULT_Y15-24,2016,7559.966,R1:2474
AFG,POP_2POP_SEX_AGE_NB,XA:2198,SEX_T,AGE_YTHADULT_YGE25,2016,12158.267,R1:2474
AFG,POP_2POP_SEX_AGE_NB,XA:2198,SEX_T,AGE_5YRBANDS_TOTAL,2017,36296.111,R1:2474
AFG,POP_2POP_SEX_AGE_NB,XA:2198,SEX_T,AGE_5YRBANDS_Y00-04,2017,5562.987,R1:2474
AFG,POP_2POP_SEX_AGE_NB,XA:2198,SEX_T,AGE_5YRBANDS_Y05-09,2017,5361.291,R1:2474
AFG,POP_2POP_SEX_AGE_NB,XA:2198,SEX_T,AGE_5YRBANDS_Y10-14,2017,4930.757,R1:2474
AFG,POP_2POP_SEX_AGE_NB,XA:2198,SEX_T,AGE_5YRBANDS_Y15-19,2017,4310.511,R1:2474
AFG,POP_2POP_SEX_AGE_NB,XA:2198,SEX_T,AGE_5YRBANDS_Y20-24,2017,3512.36,R1:2474
AFG,POP_2POP_SEX_AGE_NB,XA:2198,SEX_T,AGE_5YRBANDS_Y25-29,2017,2756.605,R1:2474
AFG,POP_2POP_SEX_AGE_NB,XA:2198,SEX_T,AGE_5YRBANDS_Y30-34,2017,2251.504,R1:2474
AFG,POP_2POP_SEX_AGE_NB,XA:2198,SEX_T,AGE_5YRBANDS_Y35-39,2017,1848.131,R1:2474
AFG,POP_2POP_SEX_AGE_NB,XA:2198,SEX_T,AGE_5YRBANDS_Y40-44,2017,1467.916,R1:2474
AFG,POP_2POP_SEX_AGE_NB,XA:2198,SEX_T,AGE_5YRBANDS_Y45-49,2017,1165.117,R1:2474
AFG,POP_2POP_SEX_AGE_NB,XA:2198,SEX_T,AGE_5YRBANDS_Y50-54,2017,928.278,R1:2474
AFG,POP_2POP_SEX_AGE_NB,XA:2198,SEX_T,AGE_5YRBANDS_Y55-59,2017,724.88,R1:2474
AFG,POP_2POP_SEX_AGE_NB,XA:2198,SEX_T,AGE_5YRBANDS_Y60-64,2017,548.719,R1:2474
AFG,POP_2POP_SEX_AGE_NB,XA:2198,SEX_T,AGE_5YRBANDS_YGE65,2017,927.055,R1:2474
AFG,POP_2POP_SEX_AGE_NB,XA:2198,SEX_T,AGE_10YRBANDS_TOTAL,2017,36296.111,R1:2474
AFG,POP_2POP_SEX_AGE_NB,XA:2198,SEX_T,AGE_10YRBANDS_YLT15,2017,15855.035,R1:2474
AFG,POP_2POP_SEX_AGE_NB,XA:2198,SEX_T,AGE_10YRBANDS_Y15-24,2017,7822.871,R1:2474
AFG,POP_2POP_SEX_AGE_NB,XA:2198,SEX_T,AGE_10YRBANDS_Y25-34,2017,5008.109,R1:2474
AFG,POP_2POP_SEX_AGE_NB,XA:2198,SEX_T,AGE_10YRBANDS_Y35-44,2017,3316.047,R1:2474
AFG,POP_2POP_SEX_AGE_NB,XA:2198,SEX_T,AGE_10YRBANDS_Y45-54,2017,2093.395,R1:2474
AFG,POP_2POP_SEX_AGE_NB,XA:2198,SEX_T,AGE_10YRBANDS_Y55-64,2017,1273.599,R1:2474
AFG,POP_2POP_SEX_AGE_NB,XA:2198,SEX_T,AGE_10YRBANDS_YGE65,2017,927.055,R1:2474
AFG,POP_2POP_SEX_AGE_NB,XA:2198,SEX_T,AGE_AGGREGATE_TOTAL,2017,36296.111,R1:2474
AFG,POP_2POP_SEX_AGE_NB,XA:2198,SEX_T,AGE_AGGREGATE_YLT15,2017,15855.035,R1:2474
AFG,POP_2POP_SEX_AGE_NB,XA:2198,SEX_T,AGE_AGGREGATE_Y15-24,2017,7822.871,R1:2474
AFG,POP_2POP_SEX_AGE_NB,XA:2198,SEX_T,AGE_AGGREGATE_Y25-54,2017,10417.551,R1:2474
AFG,POP_2POP_SEX_AGE_NB,XA:2198,SEX_T,AGE_AGGREGATE_Y55-64,2017,1273.599,R1:2474
AFG,POP_2POP_SEX_AGE_NB,XA:2198,SEX_T,AGE_AGGREGATE_YGE65,2017,927.055,R1:2474
AFG,POP_2POP_SEX_AGE_NB,XA:2198,SEX_T,AGE_YTHADULT_YGE15,2017,20441.076,R1:2474
AFG,POP_2POP_SEX_AGE_NB,XA:2198,SEX_T,AGE_YTHADULT_Y15-64,2017,19514.021,R1:2474
AFG,POP_2POP_SEX_AGE_NB,XA:2198,SEX_T,AGE_YTHADULT_Y15-24,2017,7822.871,R1:2474
AFG,POP_2POP_SEX_AGE_NB,XA:2198,SEX_T,AGE_YTHADULT_YGE25,2017,12618.205,R1:2474
AFG,POP_2POP_SEX_AGE_NB,XA:2198,SEX_T,AGE_5YRBANDS_TOTAL,2018,37171.921,R1:2474
AFG,POP_2POP_SEX_AGE_NB,XA:2198,SEX_T,AGE_5YRBANDS_Y00-04,2018,5601.443,R1:2474
AFG,POP_2POP_SEX_AGE_NB,XA:2198,SEX_T,AGE_5YRBANDS_Y05-09,2018,5388.23,R1:2474
AFG,POP_2POP_SEX_AGE_NB,XA:2198,SEX_T,AGE_5YRBANDS_Y10-14,2018,5027.758,R1:2474
AFG,POP_2POP_SEX_AGE_NB,XA:2198,SEX_T,AGE_5YRBANDS_Y15-19,2018,4414.718,R1:2474
AFG,POP_2POP_SEX_AGE_NB,XA:2198,SEX_T,AGE_5YRBANDS_Y20-24,2018,3656.616,R1:2474
AFG,POP_2POP_SEX_AGE_NB,XA:2198,SEX_T,AGE_5YRBANDS_Y25-29,2018,2867.292,R1:2474
AFG,POP_2POP_SEX_AGE_NB,XA:2198,SEX_T,AGE_5YRBANDS_Y30-34,2018,2319.668,R1:2474
AFG,POP_2POP_SEX_AGE_NB,XA:2198,SEX_T,AGE_5YRBANDS_Y35-39,2018,1918.355,R1:2474
AFG,POP_2POP_SEX_AGE_NB,XA:2198,SEX_T,AGE_5YRBANDS_Y40-44,2018,1529.43,R1:2474
AFG,POP_2POP_SEX_AGE_NB,XA:2198,SEX_T,AGE_5YRBANDS_Y45-49,2018,1207.463,R1:2474
AFG,POP_2POP_SEX_AGE_NB,XA:2198,SEX_T,AGE_5YRBANDS_Y50-54,2018,960.877,R1:2474
