Local,SP_DYN_LE00_IN,SP_DYN_IMRT_IN,NY_GDP_MKTP_CD,NY_GDP_PCAP_CD,NY_GDP_MKTP_KD_ZG,200343,200144,200345,200151,SP_RUR_TOTL_ZS,200101
ABW,76.0,null,2919553073.0,27981.0,5.7,20.0,15.0,57.0,13.0,57.0,104.0
AFG,63.0,53.0,19907111419.0,578.0,1.5,15444.0,7278.0,10839.0,853.0,75.0,34414.0
AGO,59.0,58.0,116193649124.0,4167.0,0.9,13136.0,5384.0,8729.0,635.0,37.0,27884.0
AIA,null,null,null,null,null,3.0,2.0,8.0,1.0,null,14.0
ALB,78.0,9.0,11386846319.0,3953.0,2.2,540.0,498.0,1488.0,365.0,43.0,2891.0
ARE,77.0,7.0,358135057862.0,38663.0,5.1,1312.0,988.0,6876.0,86.0,14.0,9263.0
ARG,76.0,10.0,594749285413.0,13789.0,2.7,10860.0,7023.0,20571.0,4621.0,8.0,43075.0
ARM,74.0,13.0,10553337673.0,3607.0,3.2,587.0,420.0,1600.0,318.0,37.0,2926.0
ASM,null,null,661000000.0,11843.0,1.4,18.0,11.0,24.0,3.0,13.0,56.0
ATG,76.0,6.0,1336692593.0,14286.0,3.8,21.0,15.0,50.0,8.0,75.0,94.0
AUS,82.0,3.0,1351693984525.0,56756.0,2.2,4520.0,3172.0,12685.0,3555.0,14.0,23933.0
AUT,81.0,3.0,381817565894.0,44178.0,1.0,1225.0,1008.0,4810.0,1635.0,42.0,8679.0
AZE,72.0,23.0,53074370486.0,5500.0,1.0,2201.0,1613.0,5256.0,552.0,45.0,9623.0
BDI,60.0,46.0,3104394858.0,306.0,-3.9,4625.0,2065.0,3257.0,213.0,88.0,10160.0
BEL,81.0,3.0,462149679344.0,40992.0,2.0,1919.0,1325.0,5995.0,2048.0,2.0,11288.0
BEN,61.0,64.0,11388160958.0,1077.0,1.8,4552.0,2099.0,3584.0,341.0,54.0,10576.0
BFA,60.0,54.0,11832159276.0,653.0,3.9,8254.0,3610.0,5811.0,436.0,72.0,18111.0
BGD,72.0,30.0,195078678697.0,1248.0,6.6,45749.0,30351.0,72182.0,7974.0,66.0,156256.0
BGR,75.0,7.0,50630703922.0,7054.0,4.0,1028.0,701.0,4030.0,1441.0,26.0,7200.0
BHR,77.0,7.0,31125851064.0,22689.0,2.9,286.0,181.0,873.0,32.0,11.0,1372.0
BHS,73.0,9.0,11752300000.0,31406.0,0.6,90.0,65.0,194.0,25.0,17.0,374.0
BIH,77.0,5.0,16211541253.0,4727.0,3.1,null,null,null,null,53.0,null
BLM,null,null,null,null,null,2.0,1.0,5.0,1.0,null,10.0
BLR,74.0,3.0,56454734397.0,5949.0,-3.8,1535.0,1061.0,5492.0,1352.0,23.0,9439.0
BLZ,74.0,13.0,1723800000.0,4776.0,2.8,116.0,74.0,155.0,16.0,55.0,361.0
BMU,81.0,null,null,null,null,10.0,8.0,34.0,12.0,,64.0
BOL,70.0,25.0,33000198263.0,3036.0,4.9,3522.0,2088.0,4525.0,734.0,32.0,10870.0
BRA,75.0,14.0,1802214373741.0,8814.0,-3.5,45844.0,34326.0,107917.0,16384.0,14.0,204472.0
BRB,79.0,12.0,4715000000.0,16525.0,2.4,52.0,38.0,153.0,42.0,69.0,285.0
BRN,75.0,9.0,12930394938.0,31165.0,-0.4,100.0,70.0,228.0,17.0,23.0,415.0
BTN,70.0,28.0,2003598213.0,2753.0,6.6,199.0,153.0,333.0,42.0,61.0,728.0
BWA,67.0,33.0,14420604206.0,6800.0,-1.7,740.0,400.0,899.0,81.0,33.0,2121.0
CAF,51.0,91.0,1695825708.0,377.0,4.3,2031.0,930.0,1405.0,127.0,60.0,4493.0
CAN,82.0,5.0,1556129524418.0,43586.0,0.7,5761.0,4649.0,19833.0,5784.0,19.0,36027.0
CHE,83.0,4.0,679832291693.0,82082.0,1.3,1227.0,942.0,4634.0,1493.0,26.0,8297.0
CHL,80.0,7.0,243919085309.0,13574.0,2.3,3696.0,2812.0,9558.0,1904.0,13.0,17969.0
