"LOCAL","INDICE"
"ALB","0.1536088396597242"
"ARM","0.11091979672703528"
"BGD","0.07144568655534829"
"BIH","0.0884179600634975"
"BLR","0.23640021523011157"
"BLZ","0.17102279418460686"
"BOL","0.1647498983528386"
"BRA","0.2513489850382742"
"CHL","0.263485744975172"
"COL","0.21490571781117038"
"CRI","0.2491978063627656"
"DOM","0.20474037563067324"
"EGY","0.09760336217878798"
"GEO","0.16260659164421745"
"GTM","0.1579282962835596"
"IDN","0.15118174587651073"
"IRN","0.16742449196882325"
"IRQ","0.1367364421823983"
"KEN","0.022068705825141855"
"KGZ","0.09283418299754365"
"KHM","0.08598591380340866"
"LBR","-0.04998580940340341"
"LKA","0.15536194423083788"
"MEX","0.24489444403907762"
"MKD","0.1350798920896189"
"MLI","-0.06668138970140604"
"MNE","0.16422512676501544"
"MNG","0.17211350605782952"
"MUS","0.17188645176405853"
"MYS","0.24735623755776304"
"NAM","0.09174886561396203"
"PAN","0.22551308486506344"
"PHL","0.1494753008388515"
"PRY","0.17367432612733918"
"RUS","0.2232497358191747"
"SLV","0.18212256855438205"
"SRB","0.13514453703713175"
"SUR","0.20960572019511722"
"THA","0.21214041543528203"
"TUN","0.14672934646994937"
"TUR","0.20186311337765014"
"UKR","0.13359304065916516"
"URY","0.29759078104632536"
"VNM","0.15013072204013694"
"ZAF","0.11214291145322065"
