ref_area,indicator,source,sex,classif1,time,obs_value,note_classif
CMR,SDG_A871_SEX_AGE_RT,XX:13982,SEX_T,AGE_CLDVERSION_Y5-17,2014,33.36,
CMR,SDG_A871_SEX_AGE_RT,XX:13982,SEX_M,AGE_CLDVERSION_Y5-17,2014,38.46137524,
CMR,SDG_A871_SEX_AGE_RT,XX:13982,SEX_F,AGE_CLDVERSION_Y5-17,2014,32.77597427,
COD,SDG_A871_SEX_AGE_RT,XX:14021,SEX_T,AGE_CLDVERSION_Y5-17,2013,20.63,
COD,SDG_A871_SEX_AGE_RT,XX:14021,SEX_M,AGE_CLDVERSION_Y5-17,2013,20.46748549,
COD,SDG_A871_SEX_AGE_RT,XX:14021,SEX_F,AGE_CLDVERSION_Y5-17,2013,22.83192575,
COG,SDG_A871_SEX_AGE_RT,XX:13967,SEX_T,AGE_CLDVERSION_Y5-14,2011,16.90609902,
COG,SDG_A871_SEX_AGE_RT,XX:13967,SEX_M,AGE_CLDVERSION_Y5-14,2011,17.52930284,
COG,SDG_A871_SEX_AGE_RT,XX:13967,SEX_F,AGE_CLDVERSION_Y5-14,2011,17.70289689,
COL,SDG_A871_SEX_AGE_RT,XX:13988,SEX_T,AGE_CLDVERSION_Y5-17,2016,3.3,
COL,SDG_A871_SEX_AGE_RT,XX:13988,SEX_M,AGE_CLDVERSION_Y5-17,2016,4.5,
COL,SDG_A871_SEX_AGE_RT,XX:13988,SEX_F,AGE_CLDVERSION_Y5-17,2016,2,
COM,SDG_A871_SEX_AGE_RT,XX:13969,SEX_T,AGE_CLDVERSION_Y5-14,2012,20.38042694,
COM,SDG_A871_SEX_AGE_RT,XX:13969,SEX_M,AGE_CLDVERSION_Y5-14,2012,20.57665139,
COM,SDG_A871_SEX_AGE_RT,XX:13969,SEX_F,AGE_CLDVERSION_Y5-14,2012,20.14216781,
CRI,SDG_A871_SEX_AGE_RT,XX:13992,SEX_T,AGE_CLDVERSION_Y5-14,2011,3.558415174,
CRI,SDG_A871_SEX_AGE_RT,XX:13992,SEX_M,AGE_CLDVERSION_Y5-14,2011,3.476926312,
CRI,SDG_A871_SEX_AGE_RT,XX:13992,SEX_F,AGE_CLDVERSION_Y5-14,2011,3.641337156,
DOM,SDG_A871_SEX_AGE_RT,XX:13955,SEX_T,AGE_CLDVERSION_Y5-17,2014,5.6,
DOM,SDG_A871_SEX_AGE_RT,XX:13955,SEX_M,AGE_CLDVERSION_Y5-17,2014,7.940912992,
DOM,SDG_A871_SEX_AGE_RT,XX:13955,SEX_F,AGE_CLDVERSION_Y5-17,2014,5.796241015,
DZA,SDG_A871_SEX_AGE_RT,XX:13996,SEX_T,AGE_CLDVERSION_Y5-14,2012,3.72,
DZA,SDG_A871_SEX_AGE_RT,XX:13996,SEX_M,AGE_CLDVERSION_Y5-14,2012,4.32722196,
DZA,SDG_A871_SEX_AGE_RT,XX:13996,SEX_F,AGE_CLDVERSION_Y5-14,2012,3.122401237,
ECU,SDG_A871_SEX_AGE_RT,XX:13973,SEX_T,AGE_CLDVERSION_Y5-14,2016,3.1,
ECU,SDG_A871_SEX_AGE_RT,XX:13973,SEX_M,AGE_CLDVERSION_Y5-14,2016,3.3,
ECU,SDG_A871_SEX_AGE_RT,XX:13973,SEX_F,AGE_CLDVERSION_Y5-14,2016,2.9,
EGY,SDG_A871_SEX_AGE_RT,XX:14000,SEX_T,AGE_CLDVERSION_Y5-17,2014,3.580570221,
EGY,SDG_A871_SEX_AGE_RT,XX:14000,SEX_M,AGE_CLDVERSION_Y5-17,2014,5.560847744,
EGY,SDG_A871_SEX_AGE_RT,XX:14000,SEX_F,AGE_CLDVERSION_Y5-17,2014,1.444425993,
ETH,SDG_A871_SEX_AGE_RT,XX:13962,SEX_T,AGE_CLDVERSION_Y5-14,2011,18.81407052,
ETH,SDG_A871_SEX_AGE_RT,XX:13962,SEX_M,AGE_CLDVERSION_Y5-14,2011,23.80074114,
ETH,SDG_A871_SEX_AGE_RT,XX:13962,SEX_F,AGE_CLDVERSION_Y5-14,2011,13.40467483,
GAB,SDG_A871_SEX_AGE_RT,XX:14004,SEX_T,AGE_CLDVERSION_Y5-14,2012,14.52988684,
GAB,SDG_A871_SEX_AGE_RT,XX:14004,SEX_M,AGE_CLDVERSION_Y5-14,2012,16.0779193,
GAB,SDG_A871_SEX_AGE_RT,XX:14004,SEX_F,AGE_CLDVERSION_Y5-14,2012,13.70655298,
GEO,SDG_A871_SEX_AGE_RT,XX:13977,SEX_T,AGE_CLDVERSION_Y5-17,2015,1.5,
GEO,SDG_A871_SEX_AGE_RT,XX:13977,SEX_M,AGE_CLDVERSION_Y5-17,2015,2.1,
GEO,SDG_A871_SEX_AGE_RT,XX:13977,SEX_F,AGE_CLDVERSION_Y5-17,2015,0.9,
GHA,SDG_A871_SEX_AGE_RT,XX:14008,SEX_T,AGE_CLDVERSION_Y5-17,2012,17.5,C6:2272
GHA,SDG_A871_SEX_AGE_RT,XX:14008,SEX_M,AGE_CLDVERSION_Y5-17,2012,17.4,C6:2272
GHA,SDG_A871_SEX_AGE_RT,XX:14008,SEX_F,AGE_CLDVERSION_Y5-17,2012,17.6,C6:2272
GIN,SDG_A871_SEX_AGE_RT,XX:14032,SEX_T,AGE_CLDVERSION_Y5-14,2012,24.84751195,
GIN,SDG_A871_SEX_AGE_RT,XX:14032,SEX_M,AGE_CLDVERSION_Y5-14,2012,26.91009343,
GIN,SDG_A871_SEX_AGE_RT,XX:14032,SEX_F,AGE_CLDVERSION_Y5-14,2012,22.11428583,
GNB,SDG_A871_SEX_AGE_RT,XX:14011,SEX_T,AGE_CLDVERSION_Y5-17,2014,33.96165669,
GNB,SDG_A871_SEX_AGE_RT,XX:14011,SEX_M,AGE_CLDVERSION_Y5-17,2014,34.61972773,
GNB,SDG_A871_SEX_AGE_RT,XX:14011,SEX_F,AGE_CLDVERSION_Y5-17,2014,33.26117098,
GTM,SDG_A871_SEX_AGE_RT,XX:13980,SEX_T,AGE_CLDVERSION_Y5-17,2013,8.1,C6:2272
GTM,SDG_A871_SEX_AGE_RT,XX:13980,SEX_M,AGE_CLDVERSION_Y5-17,2013,11.4,C6:2272
GTM,SDG_A871_SEX_AGE_RT,XX:13980,SEX_F,AGE_CLDVERSION_Y5-17,2013,4.6,C6:2272
GUY,SDG_A871_SEX_AGE_RT,XX:14015,SEX_T,AGE_CLDVERSION_Y5-17,2014,9.64,
GUY,SDG_A871_SEX_AGE_RT,XX:14015,SEX_M,AGE_CLDVERSION_Y5-17,2014,9.66251269,
GUY,SDG_A871_SEX_AGE_RT,XX:14015,SEX_F,AGE_CLDVERSION_Y5-17,2014,11.08280644,
HND,SDG_A871_SEX_AGE_RT,XX:13965,SEX_T,AGE_CLDVERSION_Y5-17,2014,8,
HND,SDG_A871_SEX_AGE_RT,XX:13965,SEX_M,AGE_CLDVERSION_Y5-17,2014,11.5,
HND,SDG_A871_SEX_AGE_RT,XX:13965,SEX_F,AGE_CLDVERSION_Y5-17,2014,4.3,
HTI,SDG_A871_SEX_AGE_RT,XX:14019,SEX_T,AGE_CLDVERSION_Y5-14,2012,21.60608321,
HTI,SDG_A871_SEX_AGE_RT,XX:14019,SEX_M,AGE_CLDVERSION_Y5-14,2012,22.44206667,
HTI,SDG_A871_SEX_AGE_RT,XX:14019,SEX_F,AGE_CLDVERSION_Y5-14,2012,20.2181384,
IND,SDG_A871_SEX_AGE_RT,XX:13984,SEX_T,AGE_CLDVERSION_Y5-17,2012,4.3,
IND,SDG_A871_SEX_AGE_RT,XX:13984,SEX_M,AGE_CLDVERSION_Y5-17,2012,5.3,
IND,SDG_A871_SEX_AGE_RT,XX:13984,SEX_F,AGE_CLDVERSION_Y5-17,2012,3.1,
IRQ,SDG_A871_SEX_AGE_RT,XX:14023,SEX_T,AGE_CLDVERSION_Y5-14,2011,3.916667402,
IRQ,SDG_A871_SEX_AGE_RT,XX:14023,SEX_M,AGE_CLDVERSION_Y5-14,2011,5.07296361,
IRQ,SDG_A871_SEX_AGE_RT,XX:14023,SEX_F,AGE_CLDVERSION_Y5-14,2011,2.698594145,
JAM,SDG_A871_SEX_AGE_RT,XX:13958,SEX_T,AGE_CLDVERSION_Y5-14,2011,2.740654536,
JAM,SDG_A871_SEX_AGE_RT,XX:13958,SEX_M,AGE_CLDVERSION_Y5-14,2011,2.54230462,
JAM,SDG_A871_SEX_AGE_RT,XX:13958,SEX_F,AGE_CLDVERSION_Y5-14,2011,2.932449989,
JOR,SDG_A871_SEX_AGE_RT,XX:13987,SEX_T,AGE_CLDVERSION_Y5-17,2016,1.2,
JOR,SDG_A871_SEX_AGE_RT,XX:13987,SEX_M,AGE_CLDVERSION_Y5-17,2016,2.2,
JOR,SDG_A871_SEX_AGE_RT,XX:13987,SEX_F,AGE_CLDVERSION_Y5-17,2016,0.2,
KGZ,SDG_A871_SEX_AGE_RT,XX:13968,SEX_T,AGE_CLDVERSION_Y5-17,2014,15.27,
KGZ,SDG_A871_SEX_AGE_RT,XX:13968,SEX_M,AGE_CLDVERSION_Y5-17,2014,17.34248102,
KGZ,SDG_A871_SEX_AGE_RT,XX:13968,SEX_F,AGE_CLDVERSION_Y5-17,2014,13.831608,
KHM,SDG_A871_SEX_AGE_RT,XX:13989,SEX_T,AGE_CLDVERSION_Y5-17,2012,11.5,
KHM,SDG_A871_SEX_AGE_RT,XX:13989,SEX_M,AGE_CLDVERSION_Y5-17,2012,10.8,
KHM,SDG_A871_SEX_AGE_RT,XX:13989,SEX_F,AGE_CLDVERSION_Y5-17,2012,12.2,
LAO,SDG_A871_SEX_AGE_RT,XX:13959,SEX_T,AGE_CLDVERSION_Y5-17,2010,11.4,
LAO,SDG_A871_SEX_AGE_RT,XX:13959,SEX_M,AGE_CLDVERSION_Y5-17,2010,9.9,
LAO,SDG_A871_SEX_AGE_RT,XX:13959,SEX_F,AGE_CLDVERSION_Y5-17,2010,12.9,
LBR,SDG_A871_SEX_AGE_RT,XX:13991,SEX_T,AGE_CLDVERSION_Y5-17,2010,12.8,
LBR,SDG_A871_SEX_AGE_RT,XX:13991,SEX_M,AGE_CLDVERSION_Y5-17,2010,14.6,
LBR,SDG_A871_SEX_AGE_RT,XX:13991,SEX_F,AGE_CLDVERSION_Y5-17,2010,11,
LCA,SDG_A871_SEX_AGE_RT,XX:13970,SEX_T,AGE_CLDVERSION_Y5-14,2012,1.917041279,
LCA,SDG_A871_SEX_AGE_RT,XX:13970,SEX_M,AGE_CLDVERSION_Y5-14,2012,2.397995628,
LCA,SDG_A871_SEX_AGE_RT,XX:13970,SEX_F,AGE_CLDVERSION_Y5-14,2012,1.378812548,
MEX,SDG_A871_SEX_AGE_RT,XX:13993,SEX_T,AGE_CLDVERSION_Y5-17,2015,3.8,
MEX,SDG_A871_SEX_AGE_RT,XX:13993,SEX_M,AGE_CLDVERSION_Y5-17,2015,5.3,
MEX,SDG_A871_SEX_AGE_RT,XX:13993,SEX_F,AGE_CLDVERSION_Y5-17,2015,2.3,
MKD,SDG_A871_SEX_AGE_RT,XX:13953,SEX_T,AGE_CLDVERSION_Y5-14,2011,6.741207838,
MKD,SDG_A871_SEX_AGE_RT,XX:13953,SEX_M,AGE_CLDVERSION_Y5-14,2011,7.221863419,
MKD,SDG_A871_SEX_AGE_RT,XX:13953,SEX_F,AGE_CLDVERSION_Y5-14,2011,6.209668517,
MLI,SDG_A871_SEX_AGE_RT,XX:13995,SEX_T,AGE_CLDVERSION_Y5-17,2015,32.36,
MLI,SDG_A871_SEX_AGE_RT,XX:13995,SEX_M,AGE_CLDVERSION_Y5-17,2015,37.45,
MLI,SDG_A871_SEX_AGE_RT,XX:13995,SEX_F,AGE_CLDVERSION_Y5-17,2015,27.05,
MNE,SDG_A871_SEX_AGE_RT,XX:13972,SEX_T,AGE_CLDVERSION_Y5-17,2013,9.125887603,
MNE,SDG_A871_SEX_AGE_RT,XX:13972,SEX_M,AGE_CLDVERSION_Y5-17,2013,9.762489796,
MNE,SDG_A871_SEX_AGE_RT,XX:13972,SEX_F,AGE_CLDVERSION_Y5-17,2013,8.507762104,
MNG,SDG_A871_SEX_AGE_RT,XX:13997,SEX_T,AGE_CLDVERSION_Y5-17,2013,9.374817461,
MNG,SDG_A871_SEX_AGE_RT,XX:13997,SEX_M,AGE_CLDVERSION_Y5-17,2013,11.52565554,
MNG,SDG_A871_SEX_AGE_RT,XX:13997,SEX_F,AGE_CLDVERSION_Y5-17,2013,7.199594378,
MRT,SDG_A871_SEX_AGE_RT,XX:13961,SEX_T,AGE_CLDVERSION_Y5-14,2011,8.814351261,
MRT,SDG_A871_SEX_AGE_RT,XX:13961,SEX_M,AGE_CLDVERSION_Y5-14,2011,10.35013497,
MRT,SDG_A871_SEX_AGE_RT,XX:13961,SEX_F,AGE_CLDVERSION_Y5-14,2011,7.351698726,
MWI,SDG_A871_SEX_AGE_RT,XX:13999,SEX_T,AGE_CLDVERSION_Y5-17,2013,16.63,
MWI,SDG_A871_SEX_AGE_RT,XX:13999,SEX_M,AGE_CLDVERSION_Y5-17,2013,18.86854172,
MWI,SDG_A871_SEX_AGE_RT,XX:13999,SEX_F,AGE_CLDVERSION_Y5-17,2013,16.13902301,
NER,SDG_A871_SEX_AGE_RT,XX:13974,SEX_T,AGE_CLDVERSION_Y5-14,2012,28.7910521,
NER,SDG_A871_SEX_AGE_RT,XX:13974,SEX_M,AGE_CLDVERSION_Y5-14,2012,29.92882431,
NER,SDG_A871_SEX_AGE_RT,XX:13974,SEX_F,AGE_CLDVERSION_Y5-14,2012,27.31918991,
NGA,SDG_A871_SEX_AGE_RT,XX:14001,SEX_T,AGE_CLDVERSION_Y5-17,2016,28.72,
NGA,SDG_A871_SEX_AGE_RT,XX:14001,SEX_M,AGE_CLDVERSION_Y5-17,2016,29.88,
NGA,SDG_A871_SEX_AGE_RT,XX:14001,SEX_F,AGE_CLDVERSION_Y5-17,2016,27.52,
NIC,SDG_A871_SEX_AGE_RT,XX:13956,SEX_T,AGE_CLDVERSION_Y10-17,2012,25.9,
NIC,SDG_A871_SEX_AGE_RT,XX:13956,SEX_M,AGE_CLDVERSION_Y10-17,2012,33.3,
NIC,SDG_A871_SEX_AGE_RT,XX:13956,SEX_F,AGE_CLDVERSION_Y10-17,2012,17.9,
NPL,SDG_A871_SEX_AGE_RT,XX:14003,SEX_T,AGE_CLDVERSION_Y5-17,2014,19.03,
NPL,SDG_A871_SEX_AGE_RT,XX:14003,SEX_M,AGE_CLDVERSION_Y5-17,2014,19.15774941,
NPL,SDG_A871_SEX_AGE_RT,XX:14003,SEX_F,AGE_CLDVERSION_Y5-17,2014,19.2503944,
PAK,SDG_A871_SEX_AGE_RT,XX:13976,SEX_T,AGE_CLDVERSION_Y10-17,2011,11.3,
PAK,SDG_A871_SEX_AGE_RT,XX:13976,SEX_M,AGE_CLDVERSION_Y10-17,2011,15,
PAK,SDG_A871_SEX_AGE_RT,XX:13976,SEX_F,AGE_CLDVERSION_Y10-17,2011,7.1,
PAN,SDG_A871_SEX_AGE_RT,XX:14005,SEX_T,AGE_CLDVERSION_Y5-17,2014,2.4,
PAN,SDG_A871_SEX_AGE_RT,XX:14005,SEX_M,AGE_CLDVERSION_Y5-17,2014,3.2,
PAN,SDG_A871_SEX_AGE_RT,XX:14005,SEX_F,AGE_CLDVERSION_Y5-17,2014,1.6,
PER,SDG_A871_SEX_AGE_RT,XX:13963,SEX_T,AGE_CLDVERSION_Y5-17,2015,13.3,
PER,SDG_A871_SEX_AGE_RT,XX:13963,SEX_M,AGE_CLDVERSION_Y5-17,2015,13.3,
PER,SDG_A871_SEX_AGE_RT,XX:13963,SEX_F,AGE_CLDVERSION_Y5-17,2015,13.3,
PHL,SDG_A871_SEX_AGE_RT,XX:14007,SEX_T,AGE_CLDVERSION_Y5-17,2011,4.3,
PHL,SDG_A871_SEX_AGE_RT,XX:14007,SEX_M,AGE_CLDVERSION_Y5-17,2011,5.1,
PHL,SDG_A871_SEX_AGE_RT,XX:14007,SEX_F,AGE_CLDVERSION_Y5-17,2011,3.5,
PRY,SDG_A871_SEX_AGE_RT,XX:13978,SEX_T,AGE_CLDVERSION_Y5-17,2015,15.52,
PRY,SDG_A871_SEX_AGE_RT,XX:13978,SEX_M,AGE_CLDVERSION_Y5-17,2015,19.4,
PRY,SDG_A871_SEX_AGE_RT,XX:13978,SEX_F,AGE_CLDVERSION_Y5-17,2015,11.46,
PSE,SDG_A871_SEX_AGE_RT,XX:14009,SEX_T,AGE_CLDVERSION_Y5-14,2010,7.445849478,
PSE,SDG_A871_SEX_AGE_RT,XX:14009,SEX_M,AGE_CLDVERSION_Y5-14,2010,9.607751667,
PSE,SDG_A871_SEX_AGE_RT,XX:14009,SEX_F,AGE_CLDVERSION_Y5-14,2010,5.188091099,
RWA,SDG_A871_SEX_AGE_RT,XX:14033,SEX_T,AGE_CLDVERSION_Y5-17,2013,4,C6:2354
RWA,SDG_A871_SEX_AGE_RT,XX:14033,SEX_M,AGE_CLDVERSION_Y5-17,2013,4.3,C6:2354
RWA,SDG_A871_SEX_AGE_RT,XX:14033,SEX_F,AGE_CLDVERSION_Y5-17,2013,3.8,C6:2354
SDN,SDG_A871_SEX_AGE_RT,XX:14010,SEX_T,AGE_CLDVERSION_Y5-17,2014,15.27,
SDN,SDG_A871_SEX_AGE_RT,XX:14010,SEX_M,AGE_CLDVERSION_Y5-17,2014,19.3439424,
SDN,SDG_A871_SEX_AGE_RT,XX:14010,SEX_F,AGE_CLDVERSION_Y5-17,2014,15.22651762,
SEN,SDG_A871_SEX_AGE_RT,XX:13979,SEX_T,AGE_CLDVERSION_Y5-17,2016,17.13698208,
SEN,SDG_A871_SEX_AGE_RT,XX:13979,SEX_M,AGE_CLDVERSION_Y5-17,2016,25.65155327,
SEN,SDG_A871_SEX_AGE_RT,XX:13979,SEX_F,AGE_CLDVERSION_Y5-17,2016,8.641388267,
SLB,SDG_A871_SEX_AGE_RT,XX:14012,SEX_T,AGE_CLDVERSION_Y5-14,2015,13.8,
SLB,SDG_A871_SEX_AGE_RT,XX:14012,SEX_M,AGE_CLDVERSION_Y5-14,2015,13.76,
SLB,SDG_A871_SEX_AGE_RT,XX:14012,SEX_F,AGE_CLDVERSION_Y5-14,2015,13.81,
SLE,SDG_A871_SEX_AGE_RT,XX:13964,SEX_T,AGE_CLDVERSION_Y5-14,2013,37.77278364,
SLE,SDG_A871_SEX_AGE_RT,XX:13964,SEX_M,AGE_CLDVERSION_Y5-14,2013,38.50921094,
SLE,SDG_A871_SEX_AGE_RT,XX:13964,SEX_F,AGE_CLDVERSION_Y5-14,2013,37.01373041,
SLV,SDG_A871_SEX_AGE_RT,XX:14014,SEX_T,AGE_CLDVERSION_Y5-17,2015,4.9,
SLV,SDG_A871_SEX_AGE_RT,XX:14014,SEX_M,AGE_CLDVERSION_Y5-17,2015,6.6,
SLV,SDG_A871_SEX_AGE_RT,XX:14014,SEX_F,AGE_CLDVERSION_Y5-17,2015,3,
SRB,SDG_A871_SEX_AGE_RT,XX:13981,SEX_T,AGE_CLDVERSION_Y5-17,2014,6.71,
SRB,SDG_A871_SEX_AGE_RT,XX:13981,SEX_M,AGE_CLDVERSION_Y5-17,2014,7.79716298,
SRB,SDG_A871_SEX_AGE_RT,XX:13981,SEX_F,AGE_CLDVERSION_Y5-17,2014,6.526844949,
STP,SDG_A871_SEX_AGE_RT,XX:14016,SEX_T,AGE_CLDVERSION_Y5-17,2014,12.76,
STP,SDG_A871_SEX_AGE_RT,XX:14016,SEX_M,AGE_CLDVERSION_Y5-17,2014,12.69204468,
STP,SDG_A871_SEX_AGE_RT,XX:14016,SEX_F,AGE_CLDVERSION_Y5-17,2014,13.73402327,
SUR,SDG_A871_SEX_AGE_RT,XX:13957,SEX_T,AGE_CLDVERSION_Y5-14,2010,2.170152217,
SUR,SDG_A871_SEX_AGE_RT,XX:13957,SEX_M,AGE_CLDVERSION_Y5-14,2010,2.080727555,
SUR,SDG_A871_SEX_AGE_RT,XX:13957,SEX_F,AGE_CLDVERSION_Y5-14,2010,2.27149073,
SWZ,SDG_A871_SEX_AGE_RT,XX:14018,SEX_T,AGE_CLDVERSION_Y5-14,2010,6.110107526,
SWZ,SDG_A871_SEX_AGE_RT,XX:14018,SEX_M,AGE_CLDVERSION_Y5-14,2010,6.492701173,
SWZ,SDG_A871_SEX_AGE_RT,XX:14018,SEX_F,AGE_CLDVERSION_Y5-14,2010,5.703458935,
TCD,SDG_A871_SEX_AGE_RT,XX:13983,SEX_T,AGE_CLDVERSION_Y5-17,2014,31.89,
TCD,SDG_A871_SEX_AGE_RT,XX:13983,SEX_M,AGE_CLDVERSION_Y5-17,2014,33.93674791,
TCD,SDG_A871_SEX_AGE_RT,XX:13983,SEX_F,AGE_CLDVERSION_Y5-17,2014,33.36696029,
TGO,SDG_A871_SEX_AGE_RT,XX:14020,SEX_T,AGE_CLDVERSION_Y5-17,2013,18.55,
TGO,SDG_A871_SEX_AGE_RT,XX:14020,SEX_M,AGE_CLDVERSION_Y5-17,2013,20.63240111,
TGO,SDG_A871_SEX_AGE_RT,XX:14020,SEX_F,AGE_CLDVERSION_Y5-17,2013,17.64940321,
TKM,SDG_A871_SEX_AGE_RT,XX:13966,SEX_T,AGE_CLDVERSION_Y5-17,2015,0.261040265,
TKM,SDG_A871_SEX_AGE_RT,XX:13966,SEX_M,AGE_CLDVERSION_Y5-17,2015,0.392957497,
