ref_area,indicator,source,sex,classif1,time,obs_value,note_classif
TKM,SDG_A871_SEX_AGE_RT,XX:13966,SEX_F,AGE_CLDVERSION_Y5-17,2015,0.11869038,
TUN,SDG_A871_SEX_AGE_RT,XX:14022,SEX_T,AGE_CLDVERSION_Y5-14,2011,1.756570861,
TUN,SDG_A871_SEX_AGE_RT,XX:14022,SEX_M,AGE_CLDVERSION_Y5-14,2011,2.364797145,
TUN,SDG_A871_SEX_AGE_RT,XX:14022,SEX_F,AGE_CLDVERSION_Y5-14,2011,1.108392235,
TZA,SDG_A871_SEX_AGE_RT,XX:13985,SEX_T,AGE_CLDVERSION_Y5-17,2014,22.3,
TZA,SDG_A871_SEX_AGE_RT,XX:13985,SEX_M,AGE_CLDVERSION_Y5-17,2014,23.4,
TZA,SDG_A871_SEX_AGE_RT,XX:13985,SEX_F,AGE_CLDVERSION_Y5-17,2014,21,
UGA,SDG_A871_SEX_AGE_RT,XX:14024,SEX_T,AGE_CLDVERSION_Y5-17,2012,15.2,
UGA,SDG_A871_SEX_AGE_RT,XX:14024,SEX_M,AGE_CLDVERSION_Y5-17,2012,15.6,
UGA,SDG_A871_SEX_AGE_RT,XX:14024,SEX_F,AGE_CLDVERSION_Y5-17,2012,14.8,
UKR,SDG_A871_SEX_AGE_RT,XX:13954,SEX_T,AGE_CLDVERSION_Y5-14,2012,2.166684158,
UKR,SDG_A871_SEX_AGE_RT,XX:13954,SEX_M,AGE_CLDVERSION_Y5-14,2012,2.223537676,
UKR,SDG_A871_SEX_AGE_RT,XX:13954,SEX_F,AGE_CLDVERSION_Y5-14,2012,2.107570507,
VNM,SDG_A871_SEX_AGE_RT,XX:14026,SEX_T,AGE_CLDVERSION_Y5-17,2014,12.09,
VNM,SDG_A871_SEX_AGE_RT,XX:14026,SEX_M,AGE_CLDVERSION_Y5-17,2014,11.9079046,
VNM,SDG_A871_SEX_AGE_RT,XX:14026,SEX_F,AGE_CLDVERSION_Y5-17,2014,12.46943474,
